AppID,discount
10,1
50,1
70,1
130,1
220,1
240,1
280,1
320,1
340,0
360,1
380,1
420,1
550,1
630,0
730,0
3590,1
3900,0
3910,0
4570,0
7000,1
7520,0
8000,1
8140,1
8800,0
8930,0
10090,0
12100,1
12110,1
12120,0
12170,0
12180,0
15100,0
17570,0
20900,1
20920,0
21690,1
22490,0
32360,1
32460,1
33230,0
33930,1
40390,1
42700,0
48190,0
55140,0
65800,0
70620,1
91700,1
99910,0
105600,1
201790,0
201870,0
203160,0
204530,0
208480,0
209100,0
211260,1
218230,0
221040,1
222480,1
223470,1
224960,1
224980,1
225000,0
225020,1
225300,1
225320,1
227940,0
228300,1
233410,1
240600,1
242050,1
243450,1
246420,1
250520,0
251430,0
252330,1
254700,1
255520,0
256370,1
260210,1
261980,0
265300,0
268870,0
271590,1
272890,1
277430,1
277590,1
281990,0
282800,1
283040,1
286160,0
287290,1
289650,1
290930,0
291480,0
296200,0
296490,1
298630,0
299500,0
300380,0
304240,1
306020,1
311560,1
312280,0
314340,0
319510,1
331600,0
332800,1
334940,1
335620,0
336150,0
339340,1
339610,0
343780,1
343990,0
345660,1
346470,0
354140,1
354200,0
356310,0
359220,0
359550,1
360430,0
362490,0
362830,0
365020,1
368500,1
378540,0
381210,1
381590,0
383120,0
384680,1
385760,0
388090,1
388410,0
390030,0
392110,0
393190,0
394360,0
397900,0
400630,0
400800,0
401680,1
404410,0
405500,0
406970,0
414340,0
416000,0
417750,0
418370,1
431240,1
431730,0
434460,0
438740,1
447530,0
452570,1
454140,0
458710,1
458830,0
460950,0
462200,1
463350,0
466270,0
470220,1
485510,1
487770,0
489940,1
496790,0
502720,0
506610,1
513650,0
513710,0
514900,0
517630,1
518790,1
520940,0
521580,0
528110,0
530620,0
535700,0
537630,0
550650,0
550840,1
552500,0
552990,0
555440,0
571740,1
582160,1
587650,0
588750,0
590950,0
594650,0
596650,0
599460,1
601430,0
602960,0
603700,0
610310,0
619930,0
626610,1
636070,0
640820,0
641080,1
643590,0
647960,1
661790,1
661940,0
663370,0
663390,1
668430,0
668840,0
670290,0
679990,0
691630,0
693960,0
711540,0
718590,1
719720,0
726590,0
744900,0
747250,0
755500,1
760630,0
774171,1
779430,0
802320,0
812140,1
812440,0
814380,1
819080,0
819630,0
831250,0
834910,0
838390,0
841370,0
851940,0
858210,0
865090,1
877180,0
880470,0
883710,1
890970,0
894940,0
906870,0
911400,1
948630,1
951740,0
958260,0
961440,0
967050,1
1049660,0
1054580,0
1057720,0
1070040,0
1072610,0
1079420,0
1089350,0
1096010,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
