AppID,price
10,9.99
50,4.99
70,9.99
130,4.99
220,9.99
240,9.99
280,9.99
320,4.99
340,0
360,9.99
380,7.99
420,7.99
550,9.99
630,0
730,0
3590,4.99
3900,7.49
3910,4.99
4570,12.99
7000,6.99
7520,19.99
8000,8.99
8140,8.99
8800,7.49
8930,29.99
10090,19.99
12100,9.99
12110,9.99
12120,14.99
12170,0
12180,0
15100,19.99
17570,0
20900,9.99
20920,19.99
21690,19.99
22490,6.99
32360,9.99
32460,9.99
33230,19.99
33930,19.99
40390,9.99
42700,39.99
48190,19.99
55140,19.99
65800,14.99
70620,9.99
91700,9.99
99910,0
105600,9.99
201790,14.99
201870,19.99
203160,19.99
204530,14.99
208480,0
209100,29.99
211260,9.99
218230,0
221040,29.99
222480,29.99
223470,0.99
224960,6.99
224980,6.99
225000,6.99
225020,6.99
225300,6.99
225320,6.99
227940,0
228300,29.99
233410,1.99
240600,9.99
242050,19.99
243450,6.99
246420,9.99
250520,14.99
251430,14.99
252330,9.99
254700,19.99
255520,0
256370,3.99
260210,19.99
261980,0
265300,4.49
268870,29.99
271590,29.99
272890,9.99
277430,2.99
277590,14.99
281990,9.99
282800,6.99
283040,9.99
286160,19.99
287290,5.99
289650,29.99
290930,0
291480,0
296200,0
296490,9.99
298630,17.99
299500,12.99
300380,7.99
304240,19.99
306020,9.99
311560,19.99
312280,0
314340,5.99
319510,4.99
331600,39.99
332800,7.99
334940,19.99
335620,10.04
336150,14.99
339340,19.99
339610,0
343780,6.99
343990,0
345660,19.99
346470,24.99
354140,7.99
354200,0
356310,0
359220,9.99
359550,19.99
360430,39.99
362490,14.99
362830,9.99
365020,0.49
368500,39.99
378540,29.99
381210,19.99
381590,2.99
383120,9.99
384680,3.99
385760,59.99
388090,7.99
388410,29.99
390030,14.99
392110,13.59
393190,13.99
394360,39.99
397900,0
400630,14.99
400800,19.99
401680,1.43
404410,0
405500,19.99
406970,14.99
414340,29.99
416000,13.99
417750,2.09
418370,29.99
431240,5.99
431730,14.99
434460,14.99
438740,19.99
447530,14.99
452570,19.99
454140,24.99
458710,9.99
458830,3.99
460950,14.99
462200,3.99
463350,0.49
466270,0
470220,9.99
485510,49.99
487770,5.99
489940,19.99
496790,9.99
502720,4.99
506610,7.99
513650,0
513710,24.99
514900,29.99
517630,59.99
518790,19.99
520940,39.99
521580,2.99
528110,3.99
530620,0
535700,9.99
537630,9.99
550650,0
550840,4.99
552500,29.99
552990,0
555440,14.99
571740,8.99
582160,59.99
587650,0
588750,6.99
590950,1.99
594650,29.99
596650,0
599460,6.99
601430,59.99
602960,25.49
603700,14.99
610310,14.99
619930,2.44
626610,39.99
636070,0.79
640820,39.99
641080,24.99
643590,20.99
647960,4.99
661790,7.59
661940,4.99
663370,2.99
663390,4.99
668430,19.99
668840,10.39
670290,0
679990,0
691630,7.99
693960,14.99
711540,0
718590,19.99
719720,0
726590,29.99
744900,0
747250,0
755500,59.99
760630,29.99
774171,2.99
779430,24.99
802320,14.99
812140,59.99
812440,0
814380,59.99
819080,4.99
819630,9.99
831250,2.99
834910,29.99
838390,0.5
841370,59.99
851940,5.99
858210,12.74
865090,0.59
877180,0.99
880470,24.99
883710,59.99
890970,2.99
894940,14.99
906870,0
911400,39.99
948630,0.59
951740,6.99
958260,0
961440,0
967050,4.99
1049660,0
1054580,0
1057720,0
1070040,3.99
1072610,14.99
1079420,9.99
1089350,59.99
1096010,0.99
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
