Id,Label,timeset,pageranks,modularity_class
246420,246420,,0.018161,23
12180,12180,,0.004788,56
311560,311560,,0.005261,28
319510,319510,,0.000718,0
691630,691630,,0.000718,1
300380,300380,,0.003294,30
393190,393190,,0.000718,2
32460,32460,,0.002724,19
91700,91700,,0.000718,3
225000,225000,,0.004845,30
204530,204530,,0.005261,28
594650,594650,,0.000718,4
404410,404410,,0.000718,5
392110,392110,,0.005378,30
744900,744900,,0.005694,19
858210,858210,,0.00464,30
225320,225320,,0.000718,6
911400,911400,,0.021655,23
779430,779430,,0.005261,28
961440,961440,,0.003632,57
719720,719720,,0.004132,30
414340,414340,,0.000718,7
12100,12100,,0.000718,8
340,340,,0.003712,30
640820,640820,,0.000718,9
384680,384680,,0.004788,35
21690,21690,,0.000718,10
277590,277590,,0.00279,30
280,280,,0.004788,11
40390,40390,,0.005352,31
354140,354140,,0.00204,29
1049660,1049660,,0.008113,30
812440,812440,,0.000718,12
1070040,1070040,,0.004865,30
668840,668840,,0.004788,47
670290,670290,,0.004564,13
890970,890970,,0.00369,58
362490,362490,,0.000718,14
256370,256370,,0.003571,23
222480,222480,,0.000718,15
223470,223470,,0.000718,16
10090,10090,,0.005123,30
520940,520940,,0.003073,30
224980,224980,,0.003545,32
760630,760630,,0.02135,23
290930,290930,,0.005109,13
306020,306020,,0.004191,30
220,220,,0.00714,30
3590,3590,,0.003854,23
514900,514900,,0.000718,17
3910,3910,,0.006985,58
502720,502720,,0.000718,18
8140,8140,,0.004777,57
431730,431730,,0.006932,30
747250,747250,,0.003945,19
343780,343780,,0.004788,35
647960,647960,,0.004332,30
406970,406970,,0.004788,20
447530,447530,,0.000718,21
438740,438740,,0.000718,22
227940,227940,,0.007309,29
343990,343990,,0.00592,13
261980,261980,,0.004316,30
590950,590950,,0.003863,23
1054580,1054580,,0.000718,24
289650,289650,,0.000718,25
312280,312280,,0.005152,30
528110,528110,,0.005261,28
130,130,,0.00343,30
661940,661940,,0.003571,23
385760,385760,,0.005951,19
339610,339610,,0.005694,19
603700,603700,,0.003322,57
7520,7520,,0.004788,26
12170,12170,,0.004788,20
663390,663390,,0.003955,30
730,730,,0.002426,30
518790,518790,,0.004175,30
388410,388410,,0.000718,27
462200,462200,,0.005261,28
211260,211260,,0.002669,44
487770,487770,,0.003547,29
454140,454140,,0.004036,30
271590,271590,,0.006031,31
841370,841370,,0.02213,23
4570,4570,,0.003322,57
359220,359220,,0.021861,23
602960,602960,,0.004627,44
948630,948630,,0.00404,30
10,10,,0.006652,32
1057720,1057720,,0.000718,33
418370,418370,,0.000718,34
208480,208480,,0.021596,23
555440,555440,,0.004788,59
240,240,,0.004057,30
397900,397900,,0.006588,30
470220,470220,,0.004525,29
1096010,1096010,,0.008017,30
400630,400630,,0.004788,35
252330,252330,,0.004788,35
601430,601430,,0.003228,30
299500,299500,,0.000718,36
368500,368500,,0.004788,56
3900,3900,,0.000718,37
865090,865090,,0.005128,30
394360,394360,,0.004784,28
12110,12110,,0.003547,29
458710,458710,,0.003854,23
416000,416000,,0.002911,30
390030,390030,,0.000718,38
42700,42700,,0.004788,39
420,420,,0.002742,23
588750,588750,,0.00472,19
535700,535700,,0.000718,40
8930,8930,,0.002742,23
417750,417750,,0.000718,41
967050,967050,,0.006219,29
958260,958260,,0.002742,23
537630,537630,,0.002742,23
405500,405500,,0.002742,23
641080,641080,,0.002742,23
70620,70620,,0.002742,23
401680,401680,,0.004788,42
50,50,,0.005416,31
296490,296490,,0.005261,28
360430,360430,,0.002742,23
360,360,,0.000718,43
359550,359550,,0.002742,23
243450,243450,,0.004777,57
331600,331600,,0.00285,31
458830,458830,,0.002742,23
596650,596650,,0.009179,44
400800,400800,,0.000718,45
15100,15100,,0.002742,23
831250,831250,,0.000718,46
224960,224960,,0.004784,28
381210,381210,,0.004788,47
314340,314340,,0.004788,48
272890,272890,,0.00272,13
356310,356310,,0.002676,44
530620,530620,,0.000718,49
221040,221040,,0.000718,50
906870,906870,,0.000718,51
242050,242050,,0.002742,23
819630,819630,,0.000718,52
233410,233410,,0.004784,28
381590,381590,,0.002742,23
225300,225300,,0.000718,53
70,70,,0.005024,29
55140,55140,,0.002742,23
663370,663370,,0.002742,23
203160,203160,,0.000718,54
388090,388090,,0.000718,55
251430,251430,,0.006031,31
513650,513650,,0.002742,23
320,320,,0.004788,56
250520,250520,,0.005868,57
466270,466270,,0.002742,23
894940,894940,,0.005352,31
20920,20920,,0.00369,58
619930,619930,,0.002742,23
951740,951740,,0.002742,23
812140,812140,,0.002742,23
814380,814380,,0.004788,59
489940,489940,,0.002742,23
287290,287290,,0.000718,60
819080,819080,,0.003545,32
260210,260210,,0.002742,23
452570,452570,,0.002742,23
383120,383120,,0.002742,23
463350,463350,,0.002669,44
105600,105600,,0.002742,23
335620,335620,,0.000718,61
283040,283040,,0.00285,31
291480,291480,,0.002742,23
8800,8800,,0.003545,32
610310,610310,,0.003702,31
99910,99910,,0.002742,23
1089350,1089350,,0.000718,62
485510,485510,,0.004788,26
838390,838390,,0.004788,68
201790,201790,,0.000718,63
354200,354200,,0.003702,31
851940,851940,,0.000718,64
506610,506610,,0.000718,65
298630,298630,,0.002742,23
834910,834910,,0.002742,23
693960,693960,,0.002742,23
268870,268870,,0.000718,66
336150,336150,,0.005868,57
431240,431240,,0.026726,23
774171,774171,,0.002742,23
517630,517630,,0.002992,13
513710,513710,,0.004788,11
65800,65800,,0.004788,20
571740,571740,,0.002742,23
883710,883710,,0.024453,23
718590,718590,,0.000718,67
880470,880470,,0.003929,28
496790,496790,,0.002742,23
225020,225020,,0.002742,23
550650,550650,,0.004788,68
552500,552500,,0.00691,44
582160,582160,,0.00272,13
599460,599460,,0.002742,23
48190,48190,,0.002742,23
460950,460950,,0.000718,69
346470,346470,,0.004784,28
22490,22490,,0.000718,70
521580,521580,,0.002742,23
630,630,,0.000718,71
33230,33230,,0.002742,23
802320,802320,,0.00272,13
282800,282800,,0.002742,23
201870,201870,,0.005352,31
286160,286160,,0.006219,29
209100,209100,,0.004788,47
304240,304240,,0.004784,28
434460,434460,,0.002742,23
339340,339340,,0.000718,72
643590,643590,,0.002742,23
7000,7000,,0.004788,42
32360,32360,,0.000718,73
334940,334940,,0.002742,23
281990,281990,,0.002742,23
378540,378540,,0.002742,23
726590,726590,,0.000718,74
380,380,,0.007309,29
552990,552990,,0.002742,23
218230,218230,,0.004788,20
668430,668430,,0.002426,30
265300,265300,,0.004788,39
254700,254700,,0.000718,75
240600,240600,,0.002742,23
255520,255520,,0.000718,76
8000,8000,,0.002142,29
362830,362830,,0.002742,23
33930,33930,,0.004788,78
277430,277430,,0.002742,23
550,550,,0.000718,77
636070,636070,,0.004788,78
661790,661790,,0.000718,79
755500,755500,,0.002742,23
17570,17570,,0.006031,31
877180,877180,,0.002742,23
1072610,1072610,,0.002742,23
587650,587650,,0.002742,23
345660,345660,,0.002742,23
228300,228300,,0.006652,32
365020,365020,,0.000718,80
1079420,1079420,,0.004788,48
626610,626610,,0.002742,23
296200,296200,,0.002742,23
550840,550840,,0.004777,57
20900,20900,,0.002742,23
711540,711540,,0.002742,23
332800,332800,,0.000718,81
679990,679990,,0.004788,42
12120,12120,,0.000984,23
