id,group,price,company,date,tag,ser_id,discount,Name,Positive,Negative,Rating,Current,24h Peak,All-Time Peak
10,58,9.99,Valve,2000,1774,0,1.0,Counter-Strike,"133,134","3,541",0.9606,"6,299","14,655","319,586"
50,70,4.99,Valve,1999,4667,6,1.0,Half-Life: Opposing Force,"5,670",314,0.9148999999999999,85,171,254
70,51,9.99,Valve,1998,4667,6,1.0,Half-Life,"30,813","1,167",0.9431,461,933,"2,167"
130,8,4.99,Valve,2001,4667,6,1.0,Half-Life: Blue Shift,"4,168",461,0.8689,44,113,174
220,8,9.99,Valve,2004,4667,6,1.0,Half-Life 2,"72,913","2,488",0.9511,790,"1,502","12,953"
240,8,9.99,Valve,2004,1774,0,1.0,Counter-Strike: Source,"85,237","3,742",0.9431,"2,710","6,138","100,056"
280,58,9.99,Valve,2004,4667,6,1.0,Half-Life: Source,"4,135","1,120",0.7651,75,153,452
320,54,4.99,Valve,2004,4667,6,1.0,Half-Life 2: Deathmatch,"6,361",809,0.8604,113,255,"2,702"
340,8,0.0,Valve,2005,4667,6,0.0,Half-Life 2: Lost Coast,"6,035","1,045",0.828,14,38,180
360,40,9.99,Valve,2006,4667,6,1.0,Half-Life Deathmatch: Source,"1,476",489,0.7254999999999999,13,27,79
380,51,7.99,Valve,2006,4667,6,1.0,Half-Life 2: Episode One,"8,403",536,0.9116,119,245,792
420,8,7.99,Valve,2007,4667,6,1.0,Half-Life 2: Episode Two,"14,571",703,0.929,147,301,"1,308"
550,80,9.99,Valve,2009,3978,0,1.0,Left 4 Dead 2,"273,711","8,878",0.9579000000000001,"10,171","17,645","162,399"
630,73,0.0,Valve,2010,1755,0,0.0,Alien Swarm,"17,745",967,0.9251,35,76,"60,467"
730,8,0.0,Valve,2012,1774,0,0.0,Counter-Strike: Global Offensive,"2,829,388","424,485",0.8654999999999999,"339,976","557,663","854,801"
730,8,0.0,Valve,2012,1678,0,0.0,Counter-Strike: Global Offensive,"2,829,388","424,485",0.8654999999999999,"339,976","557,663","854,801"
3590,8,4.99,"PopCap Games, Inc.",2009,1645,0,1.0,Plants vs. Zombies: Game of the Year,"17,556",534,0.9459000000000001,"1,251","1,653","6,208"
3900,35,7.49,2K,2005,9,1,0.0,Sid Meier's Civilization IV,"1,461",137,0.8693000000000001,332,589,"2,314"
3910,22,4.99,2K,2001,9,1,0.0,Sid Meier's Civilization III: Complete,"2,703",412,0.8351000000000001,611,"1,077","4,600"
4570,31,12.99,SEGA,2006,4345,0,0.0,"Warhammer 40,000: Dawn of War - Game of the Year Edition","3,651",212,0.9081,120,234,"3,241"
7000,77,6.99,Square Enix,2006,4667,4,1.0,Tomb Raider: Legend,"1,750",255,0.835,14,50,287
7520,29,19.99,"Topware Interactive, ACE",2011,4604,0,0.0,Two Worlds II,"3,150","2,080",0.5945,134,426,"4,812"
8000,79,8.99,Square Enix,2007,4667,4,1.0,Tomb Raider: Anniversary,"2,099",404,0.8065000000000001,26,68,461
8140,67,8.99,Square Enix,2008,4667,4,1.0,Tomb Raider: Underworld,"1,916",624,0.7303000000000001,26,55,415
8800,60,7.49,2K,2007,9,1,0.0,Sid Meier's Civilization IV: Beyond the Sword,"1,502",71,0.9053,730,"1,266","2,475"
8930,8,29.99,2K,2010,9,1,0.0,Sid Meier's Civilization V,"134,449","5,671",0.9466,"13,770","23,631","91,363"
10090,8,19.99,Activision,2008,1678,0,0.0,Call of Duty: World at War,"20,884","1,541",0.9101,613,"1,025","4,825"
12100,12,9.99,Rockstar Games,2002,699,3,1.0,Grand Theft Auto III,"5,095",795,0.8382999999999999,83,176,640
12110,36,9.99,Rockstar Games,2003,699,3,1.0,Grand Theft Auto: Vice City,"10,748",862,0.9003,181,409,814
12120,85,14.99,Rockstar Games,2005,699,3,0.0,Grand Theft Auto: San Andreas,"30,366","3,387",0.8823000000000001,839,"1,981","2,443"
12170,24,0.0,Rockstar Games,1998,699,3,0.0,Grand Theft Auto,207,33,0.7929999999999999,1,4,123
12180,1,0.0,Rockstar Games,1999,699,3,0.0,Grand Theft Auto 2,202,17,0.8391,,,
15100,8,19.99,Ubisoft,2008,4667,2,0.0,Assassin's Creed,"5,963","1,215",0.8079000000000001,40,119,"1,468"
17570,70,0.0,Octoshark Studios,2010,1681,0,0.0,"Pirates, Vikings, & Knights II","3,965",603,0.8389,14,57,878
20900,8,9.99,CD PROJEKT RED,2008,4604,0,1.0,The Witcher: Enhanced Edition,"28,358","4,411",0.8493999999999999,696,"1,616","8,338"
20920,55,19.99,CD PROJEKT RED,2011,4604,0,0.0,The Witcher 2: Assassins of Kings Enhanced Edition,"38,471","4,867",0.8721,598,"1,321","12,884"
21690,13,19.99,Capcom,2009,3978,7,1.0,Resident Evil 5 / Biohazard 5,"10,205","1,717",0.8349,228,462,"2,585"
22490,39,6.99,Bethesda Softworks,2010,1774,0,0.0,Fallout: New Vegas RU,"3,261",588,0.8183,425,923,"3,777"
32360,24,9.99,LucasArts,2009,1681,0,1.0,The Secret of Monkey Island: Special Edition,"2,251",121,0.9057,28,82,746
32460,4,9.99,LucasArts,2010,1681,0,1.0,Monkey Island 2: Special Edition,"1,251",66,0.8981,14,37,"1,813"
33230,8,19.99,Ubisoft,2010,4667,2,0.0,Assassin's Creed II,"15,558","2,696",0.8339,439,649,"3,617"
33930,54,19.99,Bohemia Interactive,2010,1678,0,1.0,Arma 2: Operation Arrowhead,"18,075","1,526",0.9006000000000001,368,"1,021","19,175"
40390,70,9.99,Deep Silver,2012,1681,0,1.0,Risen 2 - Dark Waters,"3,103",904,0.7518,35,122,"10,867"
42700,37,39.99,Activision,2010,1774,0,0.0,Call of Duty: Black Ops,"15,006","1,997",0.8622,203,557,"63,343"
48190,8,19.99,Ubisoft,2011,4667,2,0.0,Assassin's Creed Brotherhood,"7,008",963,0.8538,160,319,"3,848"
55140,8,19.99,THQ Nordic,2010,123332,0,0.0,MX vs. ATV Reflex,"1,657",367,0.7865000000000001,20,48,429
65800,54,14.99,Trendy Entertainment,2011,1645,0,0.0,Dungeon Defenders,"11,001",942,0.8962,148,353,"21,862"
70620,8,9.99,Team17 Digital Ltd,2011,7038,0,1.0,Worms Crazy Golf,413,90,0.7717,,,
91700,5,9.99,Streum On Studio,2011,4115,0,1.0,E.Y.E: Divine Cybermancy,"4,645",918,0.81,15,48,"2,481"
99910,8,0.0,"Grey Havens, LLC",2011,1681,0,0.0,Puzzle Pirates,991,250,0.7636,34,64,949
105600,8,9.99,Re-Logic,2011,3964,0,1.0,Terraria,"289,493","8,213",0.9618000000000001,"21,860","31,505","159,175"
201790,63,14.99,Robot Entertainment,2012,1645,0,0.0,Orcs Must Die! 2,"13,678",704,0.9258,70,183,"16,119"
201870,70,19.99,Ubisoft,2011,4667,2,0.0,Assassin's Creed Revelations,"6,080","1,105",0.8223,103,180,"3,105"
203160,52,19.99,Square Enix,2013,4667,4,0.0,Tomb Raider,"97,398","4,226",0.9442,902,"1,560","29,244"
204530,28,14.99,Rocket Bear Games,2014,1645,0,0.0,Infested Planet,"2,043",128,0.8974,10,20,"1,280"
208480,8,0.0,Ubisoft,2012,4667,2,0.0,Assassin's Creed® III,"9,553","3,222",0.7334,60,113,"15,007"
209100,48,29.99,Capcom Co. Ltd,2012,3978,7,0.0,Resident Evil™: Operation Raccoon City,"1,238","1,163",0.5141,8,17,"1,056"
211260,8,9.99,Spooky Squid Games Inc.,2012,4345,0,1.0,They Bleed Pixels,"1,993",336,0.8212999999999999,1,6,570
218230,24,0.0,Daybreak Game Company,2012,1678,0,0.0,PlanetSide 2,"37,314","8,085",0.8092,860,"1,668","29,676"
221040,47,29.99,Capcom,2013,3978,7,1.0,Resident Evil 6 / Biohazard 6,"15,611","4,132",0.7759,367,648,"11,879"
222480,19,29.99,Capcom,2013,3978,7,1.0,Resident Evil Revelations / Biohazard Revelations,"5,194","1,006",0.8134,74,125,"2,095"
223470,20,0.99,Running With Scissors,2003,4667,0,1.0,POSTAL 2,"38,415","1,937",0.9334,197,349,"4,636"
224960,28,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider I,"1,796",385,0.7915000000000001,15,41,208
224980,58,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider: The Last Revelation,445,66,0.8140999999999999,7,30,79
225000,70,6.99,Square Enix,2012,4667,4,0.0,Tomb Raider: Chronicles,241,78,0.7105,3,9,47
225020,8,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider (VI): The Angel of Darkness,365,273,0.5618,2,15,52
225300,50,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider II,857,119,0.8305,11,37,100
225320,9,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider III: Adventures of Lara Croft,487,103,0.7778,12,28,66
227940,27,0.0,RETO MOTO,2016,1678,0,0.0,Heroes & Generals,"67,899","35,369",0.6526000000000001,"1,979","3,691","21,026"
228300,58,29.99,Capcom,2013,4115,0,1.0,Remember Me,"9,385","1,878",0.8131999999999999,30,64,"3,117"
233410,28,1.99,Geoff Keighley,2013,4667,4,1.0,Final Hours of Tomb Raider,97,11,0.8012,,,
240600,8,9.99,Plug In Digital,2013,123332,0,1.0,MotoGP™13,424,166,0.6866,6,14,255
