Source,Target,Type,Id,Label,timeset,Weight
246420,12180,Directed,61418,,,0.052206
246420,311560,Directed,61419,,,0.209777
246420,319510,Directed,61420,,,0.343938
246420,691630,Directed,61421,,,0.151631
246420,300380,Directed,61422,,,0.052293
246420,393190,Directed,61423,,,0.643567
246420,32460,Directed,61424,,,0.216753
246420,91700,Directed,61425,,,0.319389
246420,225000,Directed,61426,,,0.052692
246420,204530,Directed,61427,,,0.189339
246420,594650,Directed,61428,,,0.535011
246420,404410,Directed,61429,,,0.318403
246420,392110,Directed,61430,,,0.052499
246420,744900,Directed,61431,,,0.207283
246420,858210,Directed,61432,,,0.041849
246420,225320,Directed,61433,,,0.302844
246420,911400,Directed,61434,,,0.051681
246420,779430,Directed,61435,,,0.210209
246420,961440,Directed,61436,,,0.167071
246420,719720,Directed,61437,,,0.034728
246420,414340,Directed,61438,,,0.386055
246420,12100,Directed,61439,,,0.068262
246420,340,Directed,61440,,,0.05269
246420,640820,Directed,61441,,,0.034728
246420,384680,Directed,61442,,,0.1369
246420,21690,Directed,61443,,,0.903796
246420,277590,Directed,61444,,,0.052926
246420,280,Directed,61445,,,0.472061
246420,40390,Directed,61446,,,0.117165
246420,354140,Directed,61447,,,0.542854
246420,1049660,Directed,61448,,,0.054377
246420,812440,Directed,61449,,,0.379315
246420,1070040,Directed,61450,,,0.119974
246420,668840,Directed,61451,,,0.184945
246420,670290,Directed,61452,,,0.053361
246420,890970,Directed,61453,,,0.32082
246420,362490,Directed,61454,,,0.308915
246420,256370,Directed,61455,,,0.052777
246420,222480,Directed,61456,,,0.174977
246420,223470,Directed,61457,,,0.383187
246420,10090,Directed,61458,,,0.052586
246420,520940,Directed,61459,,,0.141871
246420,224980,Directed,61460,,,0.352172
246420,760630,Directed,61461,,,0.052902
246420,290930,Directed,61462,,,0.05205
246420,306020,Directed,61463,,,0.052777
246420,220,Directed,61464,,,0.062529
246420,3590,Directed,61465,,,0.033488
246420,514900,Directed,61466,,,0.259959
246420,3910,Directed,61467,,,0.336503
246420,502720,Directed,61468,,,0.167172
246420,8140,Directed,61469,,,0.267074
246420,431730,Directed,61470,,,0.052531
246420,747250,Directed,61471,,,0.190843
246420,343780,Directed,61472,,,0.052451
246420,647960,Directed,61473,,,0.035231
246420,406970,Directed,61474,,,0.086437
246420,447530,Directed,61475,,,0.220295
246420,438740,Directed,61476,,,0.188076
246420,227940,Directed,61477,,,0.428693
246420,343990,Directed,61478,,,0.019843
246420,261980,Directed,61479,,,0.019843
246420,590950,Directed,61480,,,0.019843
246420,1054580,Directed,61481,,,0.019843
246420,289650,Directed,61482,,,0.019843
246420,312280,Directed,61483,,,0.019843
246420,528110,Directed,61484,,,0.209777
246420,130,Directed,61485,,,0.019843
246420,661940,Directed,61486,,,0.019843
246420,385760,Directed,61487,,,0.213877
246420,339610,Directed,61488,,,0.207283
246420,603700,Directed,61489,,,0.286425
246420,7520,Directed,61490,,,0.188548
246420,12170,Directed,61491,,,0.086437
246420,663390,Directed,61492,,,0.019843
246420,730,Directed,61493,,,0.032318
246420,518790,Directed,61494,,,0.019843
246420,388410,Directed,61495,,,0.290388
246420,462200,Directed,61496,,,0.585037
246420,211260,Directed,61497,,,0.118172
246420,487770,Directed,61498,,,0.389376
246420,454140,Directed,61499,,,0.019843
246420,271590,Directed,61500,,,0.143019
246420,841370,Directed,61501,,,0.019843
246420,4570,Directed,61502,,,0.286442
246420,359220,Directed,61503,,,0.019843
246420,602960,Directed,61504,,,0.125761
246420,948630,Directed,61505,,,0.019843
246420,10,Directed,61506,,,0.329186
246420,1057720,Directed,61507,,,0.167115
246420,418370,Directed,61508,,,0.07918
246420,208480,Directed,61509,,,0.019843
246420,555440,Directed,61510,,,0.400955
246420,240,Directed,61511,,,0.019843
246420,397900,Directed,61512,,,0.019843
246420,470220,Directed,61513,,,0.443559
246420,1096010,Directed,61514,,,0.019843
246420,400630,Directed,61515,,,0.019843
246420,252330,Directed,61516,,,0.019843
246420,601430,Directed,61517,,,0.019843
246420,299500,Directed,61518,,,0.284428
246420,368500,Directed,61519,,,0.139421
246420,3900,Directed,61520,,,0.472362
246420,865090,Directed,61521,,,0.019843
246420,394360,Directed,61522,,,0.187674
246420,12110,Directed,61523,,,0.389376
246420,458710,Directed,61524,,,0.019843
246420,416000,Directed,61525,,,0.019843
246420,390030,Directed,61526,,,0.019843
246420,42700,Directed,61527,,,0.043715
246420,420,Directed,61528,,,0.019843
246420,588750,Directed,61529,,,0.217556
246420,535700,Directed,61530,,,0.167205
246420,8930,Directed,61531,,,0.019843
246420,417750,Directed,61532,,,0.289315
246420,967050,Directed,61533,,,0.443559
246420,958260,Directed,61534,,,0.019843
246420,537630,Directed,61535,,,0.019843
246420,405500,Directed,61536,,,0.019843
246420,641080,Directed,61537,,,0.019843
246420,70620,Directed,61538,,,0.019843
246420,401680,Directed,61539,,,0.313837
246420,50,Directed,61540,,,0.100466
246420,296490,Directed,61541,,,0.209777
246420,360430,Directed,61542,,,0.019843
246420,360,Directed,61543,,,0.223993
246420,359550,Directed,61544,,,0.019843
246420,243450,Directed,61545,,,0.248545
246420,331600,Directed,61546,,,0.167165
246420,458830,Directed,61547,,,0.019843
246420,596650,Directed,61548,,,0.184496
246420,400800,Directed,61549,,,0.351608
246420,15100,Directed,61550,,,0.019843
246420,831250,Directed,61551,,,0.233816
246420,224960,Directed,61552,,,0.187674
246420,381210,Directed,61553,,,0.149767
246420,314340,Directed,61554,,,0.247325
246420,272890,Directed,61555,,,0.024551
246420,356310,Directed,61556,,,0.123172
246420,530620,Directed,61557,,,0.346505
246420,221040,Directed,61558,,,0.183436
246420,906870,Directed,61559,,,0.213866
246420,242050,Directed,61560,,,0.019843
246420,819630,Directed,61561,,,0.042464
