Id,Label,timeset,modularity_class
246420,246420,,4
12180,12180,,0
311560,311560,,2
319510,319510,,2
691630,691630,,4
300380,300380,,0
393190,393190,,2
32460,32460,,2
91700,91700,,2
225000,225000,,0
204530,204530,,0
594650,594650,,5
404410,404410,,0
392110,392110,,0
744900,744900,,2
858210,858210,,0
225320,225320,,2
911400,911400,,0
779430,779430,,2
961440,961440,,0
719720,719720,,0
414340,414340,,5
12100,12100,,4
340,340,,0
640820,640820,,0
384680,384680,,3
21690,21690,,1
277590,277590,,0
280,280,,2
40390,40390,,0
354140,354140,,2
1049660,1049660,,0
812440,812440,,2
1070040,1070040,,3
668840,668840,,0
670290,670290,,0
890970,890970,,5
362490,362490,,2
256370,256370,,0
222480,222480,,0
223470,223470,,2
10090,10090,,0
520940,520940,,0
224980,224980,,2
760630,760630,,0
290930,290930,,0
306020,306020,,0
220,220,,0
3590,3590,,4
514900,514900,,5
3910,3910,,5
502720,502720,,0
8140,8140,,2
431730,431730,,0
747250,747250,,0
343780,343780,,0
647960,647960,,0
406970,406970,,0
447530,447530,,2
438740,438740,,0
227940,227940,,2
343990,343990,,3
261980,261980,,3
590950,590950,,3
1054580,1054580,,3
289650,289650,,3
312280,312280,,3
528110,528110,,2
130,130,,3
661940,661940,,3
385760,385760,,2
339610,339610,,2
603700,603700,,2
7520,7520,,3
12170,12170,,0
663390,663390,,3
730,730,,4
518790,518790,,3
388410,388410,,5
462200,462200,,4
211260,211260,,0
487770,487770,,2
454140,454140,,3
271590,271590,,0
841370,841370,,3
4570,4570,,2
359220,359220,,3
602960,602960,,0
948630,948630,,3
10,10,,2
1057720,1057720,,0
418370,418370,,0
208480,208480,,3
555440,555440,,5
240,240,,3
397900,397900,,3
470220,470220,,2
1096010,1096010,,3
400630,400630,,3
252330,252330,,3
601430,601430,,3
299500,299500,,2
368500,368500,,0
3900,3900,,2
865090,865090,,3
394360,394360,,0
12110,12110,,2
458710,458710,,3
416000,416000,,3
390030,390030,,3
42700,42700,,4
420,420,,3
588750,588750,,2
535700,535700,,0
8930,8930,,3
417750,417750,,5
967050,967050,,2
958260,958260,,3
537630,537630,,3
405500,405500,,3
641080,641080,,3
70620,70620,,3
401680,401680,,2
50,50,,0
296490,296490,,2
360430,360430,,3
360,360,,5
359550,359550,,3
243450,243450,,2
331600,331600,,0
458830,458830,,3
596650,596650,,0
400800,400800,,2
15100,15100,,3
831250,831250,,2
224960,224960,,0
381210,381210,,0
314340,314340,,2
272890,272890,,4
356310,356310,,0
530620,530620,,2
221040,221040,,2
906870,906870,,2
242050,242050,,3
819630,819630,,0
233410,233410,,0
381590,381590,,3
225300,225300,,2
70,70,,2
55140,55140,,3
663370,663370,,3
203160,203160,,5
388090,388090,,2
251430,251430,,0
513650,513650,,3
320,320,,0
250520,250520,,2
466270,466270,,3
894940,894940,,0
20920,20920,,5
619930,619930,,3
951740,951740,,3
812140,812140,,3
814380,814380,,5
489940,489940,,3
287290,287290,,2
819080,819080,,2
260210,260210,,3
452570,452570,,3
383120,383120,,3
463350,463350,,0
105600,105600,,3
335620,335620,,0
283040,283040,,0
291480,291480,,3
8800,8800,,2
610310,610310,,0
99910,99910,,3
1089350,1089350,,5
485510,485510,,5
838390,838390,,0
201790,201790,,2
354200,354200,,0
851940,851940,,2
506610,506610,,2
298630,298630,,3
834910,834910,,3
693960,693960,,3
268870,268870,,5
336150,336150,,2
431240,431240,,4
774171,774171,,3
517630,517630,,0
513710,513710,,2
65800,65800,,0
571740,571740,,3
883710,883710,,0
718590,718590,,0
880470,880470,,0
496790,496790,,3
225020,225020,,3
550650,550650,,0
552500,552500,,4
582160,582160,,0
599460,599460,,3
48190,48190,,3
460950,460950,,4
346470,346470,,0
22490,22490,,2
521580,521580,,3
630,630,,0
33230,33230,,3
802320,802320,,0
282800,282800,,3
201870,201870,,0
286160,286160,,2
209100,209100,,0
304240,304240,,0
434460,434460,,3
339340,339340,,2
643590,643590,,3
7000,7000,,2
32360,32360,,0
334940,334940,,3
281990,281990,,3
378540,378540,,3
726590,726590,,2
380,380,,2
552990,552990,,3
218230,218230,,0
668430,668430,,0
265300,265300,,5
254700,254700,,4
240600,240600,,3
255520,255520,,6
8000,8000,,2
362830,362830,,3
33930,33930,,4
277430,277430,,3
550,550,,2
636070,636070,,3
661790,661790,,5
755500,755500,,3
17570,17570,,0
877180,877180,,3
1072610,1072610,,3
587650,587650,,3
345660,345660,,3
228300,228300,,2
365020,365020,,2
1079420,1079420,,2
626610,626610,,3
296200,296200,,3
550840,550840,,2
20900,20900,,3
711540,711540,,3
332800,332800,,2
679990,679990,,2
12120,12120,,0
