source,target,weight
246420,12180,0.053945000000000014
246420,300380,0.055941
246420,225000,0.054923
246420,392110,0.051735
246420,858210,0.054022
246420,911400,0.0249
246420,719720,0.037609
246420,340,0.056043
246420,640820,0.037609
246420,384680,0.052268
246420,277590,0.056966
246420,1049660,0.020899
246420,670290,0.053161
246420,256370,0.051381
246420,10090,0.053511
246420,520940,0.055973
246420,760630,0.055158000000000006
246420,290930,0.055643
246420,306020,0.053029
246420,220,0.041911
246420,3590,0.057189
246420,431730,0.052973
246420,343780,0.054570000000000014
246420,406970,0.079864
246420,343990,0.053295
246420,261980,0.053308
246420,590950,0.054831
246420,1054580,0.02232
246420,289650,0.056059000000000005
246420,312280,0.055172000000000006
246420,130,0.052888
246420,661940,0.023676
246420,12170,0.079864
246420,663390,0.022034
246420,730,0.021822
246420,518790,0.022034
246420,454140,0.022034
246420,841370,0.022034
246420,359220,0.022034
246420,948630,0.022034
246420,418370,0.086108
246420,208480,0.022034
246420,240,0.022034
246420,397900,0.022034
246420,1096010,0.022034
246420,400630,0.022034
246420,252330,0.022034
246420,601430,0.022034
246420,865090,0.022034
246420,458710,0.022034
246420,416000,0.022034
246420,390030,0.022034
246420,420,0.022034
246420,8930,0.022034
246420,958260,0.022034
246420,537630,0.022034
246420,405500,0.022034
246420,641080,0.022034
246420,70620,0.022034
246420,360430,0.022034
246420,359550,0.022034
246420,458830,0.022034
246420,596650,0.099106
246420,15100,0.022034
246420,272890,0.02712
246420,242050,0.022034
246420,819630,0.054447
246420,381590,0.022034
246420,55140,0.022034
246420,663370,0.022034
246420,513650,0.022034
246420,320,0.092762
246420,466270,0.022034
246420,894940,0.069926
246420,619930,0.022034
246420,951740,0.022034
246420,812140,0.022034
246420,489940,0.022034
246420,260210,0.022034
246420,452570,0.022034
246420,383120,0.022034
246420,105600,0.022034
246420,291480,0.022034
246420,610310,0.086108
246420,99910,0.022034
246420,354200,0.086108
246420,298630,0.022034
246420,834910,0.022034
246420,693960,0.022034
246420,431240,0.006571
246420,774171,0.022034
246420,517630,0.057777
246420,571740,0.022034
246420,883710,0.057785
246420,718590,0.057784
246420,496790,0.022034
246420,225020,0.022034
246420,582160,0.086108
246420,599460,0.022034
246420,48190,0.022034
246420,460950,0.082585
246420,521580,0.022034
246420,33230,0.022034
246420,802320,0.057785
246420,282800,0.022034
246420,434460,0.022034
246420,643590,0.022034
246420,32360,0.06831
246420,334940,0.022034
246420,281990,0.022034
