Id,Label,timeset,modularity_class
246420,246420,,7
12180,12180,,8
311560,311560,,1
319510,319510,,10
691630,691630,,10
300380,300380,,8
393190,393190,,0
32460,32460,,1
91700,91700,,10
225000,225000,,8
204530,204530,,1
594650,594650,,2
404410,404410,,3
392110,392110,,8
744900,744900,,1
858210,858210,,8
225320,225320,,1
911400,911400,,8
779430,779430,,1
961440,961440,,1
719720,719720,,8
414340,414340,,4
12100,12100,,8
340,340,,8
640820,640820,,8
384680,384680,,8
21690,21690,,5
277590,277590,,8
280,280,,1
40390,40390,,7
354140,354140,,1
1049660,1049660,,8
812440,812440,,6
1070040,1070040,,8
668840,668840,,1
670290,670290,,8
890970,890970,,10
362490,362490,,1
256370,256370,,8
222480,222480,,1
223470,223470,,10
10090,10090,,8
520940,520940,,8
224980,224980,,1
760630,760630,,8
290930,290930,,8
306020,306020,,8
220,220,,8
3590,3590,,8
514900,514900,,10
3910,3910,,10
502720,502720,,7
8140,8140,,1
431730,431730,,8
747250,747250,,7
343780,343780,,8
647960,647960,,8
406970,406970,,8
447530,447530,,1
438740,438740,,7
227940,227940,,1
343990,343990,,8
261980,261980,,7
590950,590950,,8
1054580,1054580,,8
289650,289650,,8
312280,312280,,8
528110,528110,,1
130,130,,8
661940,661940,,8
385760,385760,,1
339610,339610,,1
603700,603700,,1
7520,7520,,7
12170,12170,,8
663390,663390,,8
730,730,,7
518790,518790,,8
388410,388410,,10
462200,462200,,7
211260,211260,,10
487770,487770,,1
454140,454140,,7
271590,271590,,7
841370,841370,,7
4570,4570,,1
359220,359220,,7
602960,602960,,1
948630,948630,,7
10,10,,1
1057720,1057720,,7
418370,418370,,8
208480,208480,,7
555440,555440,,10
240,240,,7
397900,397900,,7
470220,470220,,1
1096010,1096010,,7
400630,400630,,7
252330,252330,,7
601430,601430,,7
299500,299500,,1
368500,368500,,10
3900,3900,,1
865090,865090,,7
394360,394360,,7
12110,12110,,1
458710,458710,,7
416000,416000,,7
390030,390030,,7
42700,42700,,10
420,420,,7
588750,588750,,1
535700,535700,,7
8930,8930,,7
417750,417750,,10
967050,967050,,1
958260,958260,,7
537630,537630,,7
405500,405500,,7
641080,641080,,7
70620,70620,,7
401680,401680,,1
50,50,,7
296490,296490,,1
360430,360430,,7
360,360,,10
359550,359550,,7
243450,243450,,1
331600,331600,,7
458830,458830,,7
596650,596650,,7
400800,400800,,10
15100,15100,,7
831250,831250,,1
224960,224960,,7
381210,381210,,7
314340,314340,,1
272890,272890,,8
356310,356310,,7
530620,530620,,6
221040,221040,,1
906870,906870,,7
242050,242050,,7
819630,819630,,7
233410,233410,,7
381590,381590,,7
225300,225300,,1
70,70,,1
55140,55140,,7
663370,663370,,7
203160,203160,,10
388090,388090,,1
251430,251430,,7
513650,513650,,7
320,320,,10
250520,250520,,1
466270,466270,,7
894940,894940,,7
20920,20920,,10
619930,619930,,7
951740,951740,,7
812140,812140,,7
814380,814380,,10
489940,489940,,7
287290,287290,,1
819080,819080,,1
260210,260210,,7
452570,452570,,7
383120,383120,,7
463350,463350,,8
105600,105600,,7
335620,335620,,7
283040,283040,,7
291480,291480,,7
8800,8800,,1
610310,610310,,8
99910,99910,,7
1089350,1089350,,10
485510,485510,,10
838390,838390,,7
201790,201790,,1
354200,354200,,8
851940,851940,,1
506610,506610,,1
298630,298630,,7
834910,834910,,7
693960,693960,,7
268870,268870,,10
336150,336150,,1
431240,431240,,8
774171,774171,,7
517630,517630,,8
513710,513710,,1
65800,65800,,7
571740,571740,,7
883710,883710,,8
718590,718590,,8
880470,880470,,7
496790,496790,,7
225020,225020,,7
550650,550650,,1
552500,552500,,7
582160,582160,,8
599460,599460,,7
48190,48190,,7
460950,460950,,8
346470,346470,,7
22490,22490,,1
521580,521580,,7
630,630,,1
33230,33230,,7
802320,802320,,8
282800,282800,,7
201870,201870,,7
286160,286160,,1
209100,209100,,10
304240,304240,,7
434460,434460,,7
339340,339340,,6
643590,643590,,7
7000,7000,,1
32360,32360,,8
334940,334940,,7
281990,281990,,7
378540,378540,,7
726590,726590,,9
380,380,,1
552990,552990,,7
218230,218230,,8
668430,668430,,8
265300,265300,,10
254700,254700,,10
240600,240600,,7
255520,255520,,11
8000,8000,,1
362830,362830,,7
33930,33930,,10
277430,277430,,7
550,550,,10
636070,636070,,10
661790,661790,,12
755500,755500,,7
17570,17570,,7
877180,877180,,7
1072610,1072610,,7
587650,587650,,7
345660,345660,,7
228300,228300,,1
365020,365020,,1
1079420,1079420,,1
626610,626610,,7
296200,296200,,7
550840,550840,,1
20900,20900,,7
711540,711540,,7
332800,332800,,1
679990,679990,,1
12120,12120,,7
