Id,Label,timeset,modularity_class,clustering
246420,246420,,6,0.696564
12180,12180,,6,0.702803
311560,311560,,3,0.756322
319510,319510,,3,0.333333
691630,691630,,6,0.733333
300380,300380,,6,0.696564
393190,393190,,0,0
32460,32460,,3,0.596639
91700,91700,,3,0.466667
225000,225000,,6,0.710756
204530,204530,,3,0.756322
594650,594650,,5,0
404410,404410,,1,0
392110,392110,,6,0.702803
744900,744900,,3,0.847619
858210,858210,,6,0.663239
225320,225320,,3,1
911400,911400,,6,0.657571
779430,779430,,3,0.756322
961440,961440,,3,0.77621
719720,719720,,6,0.647166
414340,414340,,5,0
12100,12100,,6,0.618459
340,340,,6,0.707923
640820,640820,,6,0.640013
384680,384680,,6,0.692123
21690,21690,,2,0
277590,277590,,6,0.702803
280,280,,3,0.541667
40390,40390,,6,0.622622
354140,354140,,3,0.5
1049660,1049660,,6,0.702922
812440,812440,,3,0
1070040,1070040,,6,0.702803
668840,668840,,6,0.735294
670290,670290,,6,0.663239
890970,890970,,5,0.5
362490,362490,,3,0
256370,256370,,6,0.663239
222480,222480,,6,0
223470,223470,,3,1
10090,10090,,6,0.694891
520940,520940,,6,0.702803
224980,224980,,3,0.490909
760630,760630,,6,0.704787
290930,290930,,6,0.70146
306020,306020,,4,0
220,220,,3,0.611329
3590,3590,,6,0.663239
514900,514900,,5,1
3910,3910,,5,0.6
502720,502720,,3,0.77621
8140,8140,,3,0.7
431730,431730,,6,0.695126
747250,747250,,3,0.764706
343780,343780,,6,0.696564
647960,647960,,6,0.704787
406970,406970,,6,0.591482
447530,447530,,3,0
438740,438740,,3,0.795402
227940,227940,,3,0.622222
343990,343990,,6,0.650275
261980,261980,,6,0.695126
590950,590950,,6,0.695126
1054580,1054580,,6,0.695126
289650,289650,,6,0.702803
312280,312280,,6,0.663239
528110,528110,,3,0.756322
130,130,,6,0.695126
661940,661940,,6,0.696564
385760,385760,,3,0.809524
339610,339610,,3,0.847619
603700,603700,,3,0.542857
7520,7520,,6,0.702803
12170,12170,,6,0.591482
663390,663390,,6,0.702803
730,730,,6,0.702803
518790,518790,,6,0.700218
388410,388410,,5,0.4
462200,462200,,6,0.756048
211260,211260,,6,0.702803
487770,487770,,3,0.651515
454140,454140,,6,0.663239
271590,271590,,6,0.507692
841370,841370,,6,0.702803
4570,4570,,3,0.542857
359220,359220,,6,0.695126
602960,602960,,3,0.57479
948630,948630,,6,0.702803
10,10,,3,0.549451
1057720,1057720,,6,0.756048
418370,418370,,6,0.625283
208480,208480,,6,0.94183
555440,555440,,5,1
240,240,,6,0.94183
397900,397900,,6,0.94183
470220,470220,,3,0.52381
1096010,1096010,,6,0.94183
400630,400630,,6,0.94183
252330,252330,,6,0.94183
601430,601430,,6,0.94183
299500,299500,,3,0.666667
368500,368500,,6,0.678571
3900,3900,,3,1
865090,865090,,6,0.94183
394360,394360,,3,0.756322
12110,12110,,3,0.651515
458710,458710,,6,0.94183
416000,416000,,6,0.94183
390030,390030,,6,0.94183
42700,42700,,5,0.333333
420,420,,6,0.94183
588750,588750,,3,0.824176
535700,535700,,3,0.77621
8930,8930,,6,0.94183
417750,417750,,3,0.533333
967050,967050,,3,0.52381
958260,958260,,6,0.94183
537630,537630,,6,0.94183
405500,405500,,6,0.94183
641080,641080,,6,0.94183
70620,70620,,6,0.94183
401680,401680,,3,0.511111
50,50,,3,0.774194
296490,296490,,3,0.756322
360430,360430,,6,0.94183
360,360,,5,0.3
359550,359550,,6,0.94183
243450,243450,,3,0.7
331600,331600,,3,0.77621
458830,458830,,6,0.94183
596650,596650,,6,0.541788
400800,400800,,3,0.666667
15100,15100,,6,0.94183
831250,831250,,3,0.679487
224960,224960,,6,0.793548
381210,381210,,6,0.67619
314340,314340,,3,0.727273
