Id,Label,timeset,modularity_class,pageranks
332800,332800,,13,0.002652
211260,211260,,0,0.000789
105600,105600,,1,0.000789
250520,250520,,9,0.002126
458710,458710,,13,0.001274
518790,518790,,10,0
418370,418370,,35,0.013292
431240,431240,,13,0.002015
283040,283040,,27,0.005894
22490,22490,,13,0.001427
256370,256370,,9,0.000923
220,220,,13,0.003403
368500,368500,,13,0.00095
99910,99910,,2,0.000789
314340,314340,,9,0.011792
384680,384680,,13,0.002747
65800,65800,,3,0.000789
550650,550650,,27,0.003894
271590,271590,,4,0.000789
251430,251430,,9,0.005958
335620,335620,,27,0.00856
834910,834910,,5,0.000789
610310,610310,,6,0.000789
3900,3900,,13,0.001789
528110,528110,,9,0.000924
530620,530620,,10,0
400630,400630,,13,0.00095
299500,299500,,9,0.017959
485510,485510,,27,0.01014
340,340,,35,0.004752
277430,277430,,9,0.001767
405500,405500,,7,0.000789
312280,312280,,9,0.011167
819630,819630,,35,0.000915
906870,906870,,13,0.00092
254700,254700,,13,0.00216
225320,225320,,9,0.003064
1089350,1089350,,35,0.004745
320,320,,27,0.011583
414340,414340,,35,0.012471
319510,319510,,13,0.002044
8140,8140,,9,0.004819
466270,466270,,8,0.000789
255520,255520,,10,0
744900,744900,,27,0.01055
814380,814380,,13,0.015589
381590,381590,,10,0.000789
33930,33930,,13,0.000913
388090,388090,,13,0.003576
40390,40390,,9,0.001159
838390,838390,,13,0.016545
3590,3590,,11,0.000789
602960,602960,,9,0.007393
647960,647960,,12,0.000789
438740,438740,,10,0
48190,48190,,27,0.008399
670290,670290,,35,0.010423
311560,311560,,24,0
587650,587650,,27,0.006865
365020,365020,,13,0.018644
55140,55140,,27,0.006
890970,890970,,10,0
12170,12170,,35,0.001317
20920,20920,,9,0.006762
668840,668840,,27,0.008868
1057720,1057720,,35,0.015458
227940,227940,,27,0.007638
225020,225020,,14,0.000789
951740,951740,,9,0.001649
883710,883710,,9,0.004824
400800,400800,,15,0.000789
582160,582160,,35,0.004371
296200,296200,,9,0.00189
452570,452570,,16,0.000789
517630,517630,,13,0.003518
354200,354200,,17,0.000789
967050,967050,,35,0.006515
460950,460950,,18,0.000789
243450,243450,,13,0.001307
240,240,,13,0.002533
819080,819080,,13,0.001069
362830,362830,,19,0.000789
378540,378540,,20,0.000789
663370,663370,,13,0.00095
513710,513710,,21,0.000789
812440,812440,,13,0.019365
336150,336150,,13,0.0023
228300,228300,,27,0.004938
359550,359550,,27,0.006396
359220,359220,,22,0.000789
661790,661790,,10,0
225000,225000,,9,0.003616
463350,463350,,35,0.004159
12100,12100,,9,0.001172
958260,958260,,23,0.000789
209100,209100,,27,0.004127
401680,401680,,9,0.013108
203160,203160,,13,0.017717
711540,711540,,13,0.001205
50,50,,41,0.005259
70620,70620,,24,0.000789
280,280,,35,0.000909
552500,552500,,9,0.00431
594650,594650,,27,0.007566
535700,535700,,25,0.000789
222480,222480,,13,0.003518
831250,831250,,13,0.001282
7520,7520,,27,0.007768
272890,272890,,26,0.000789
880470,880470,,27,0.00652
224960,224960,,9,0.001283
643590,643590,,27,0.009067
865090,865090,,28,0.000789
346470,346470,,29,0.000789
91700,91700,,27,0.004845
360430,360430,,30,0.000789
502720,502720,,27,0.007433
417750,417750,,24,0
961440,961440,,9,0.004298
385760,385760,,35,0.002985
858210,858210,,10,0
304240,304240,,35,0.014729
434460,434460,,31,0.000789
8930,8930,,32,0.000789
388410,388410,,13,0.001911
32360,32360,,33,0.000789
462200,462200,,35,0.001301
719720,719720,,34,0.000789
588750,588750,,13,0.001637
70,70,,13,0.001156
636070,636070,,13,0.002539
12180,12180,,13,0.000914
300380,300380,,9,0.005137
603700,603700,,13,0.001201
354140,354140,,13,0.003759
