source,target,weight
332800,518790,0.538964
332800,314340,0.574472
332800,530620,0.520202
332800,299500,0.533829
332800,255520,0.54396
332800,814380,0.571919
332800,838390,0.539467
332800,438740,0.539453
332800,670290,0.57012
332800,311560,0.479984
332800,365020,0.559349
332800,890970,0.543491
332800,812440,0.549995
332800,661790,0.521876
332800,401680,0.568662
332800,417750,0.545279
332800,858210,0.510493
332800,304240,0.550365
332800,354140,0.531564
332800,290930,0.562994
332800,15100,0.561578
332800,281990,0.536071
332800,514900,0.5330159999999999
332800,223470,0.437759
332800,555440,0.5378390000000001
332800,201870,0.5742229999999999
332800,287290,0.547774
332800,406970,0.5238510000000001
332800,21690,0.513502
332800,221040,0.528382
332800,718590,0.482574
332800,362490,0.532243
211260,223470,0.568573
250520,518790,0.54366
250520,530620,0.533478
250520,255520,0.540987
250520,438740,0.554647
250520,311560,0.519362
250520,365020,0.554619
250520,890970,0.517191
250520,20920,0.557098
250520,1057720,0.5676720000000001
250520,812440,0.559867
250520,661790,0.5635180000000001
250520,401680,0.572155
250520,417750,0.540118
250520,304240,0.52376
250520,514900,0.551276
250520,223470,0.549609
250520,252330,0.5499310000000001
250520,550840,0.568575
250520,260210,0.556294
250520,630,0.544438
250520,406970,0.512605
250520,221040,0.545971
250520,718590,0.526771
250520,362490,0.534139
458710,518790,0.576004
458710,15100,0.5736600000000001
458710,246420,0.538666
518790,418370,0.374464
518790,431240,0.548496
518790,283040,0.485102
518790,220,0.553565
518790,368500,0.568761
518790,314340,0.409921
518790,384680,0.5202260000000001
518790,550650,0.462221
518790,251430,0.471057
518790,335620,0.366242
518790,3900,0.545864
518790,530620,0.219623
518790,299500,0.426009
518790,485510,0.407752
518790,340,0.495946
518790,277430,0.558859
518790,312280,0.422706
518790,906870,0.560024
518790,254700,0.522435
518790,225320,0.557122
518790,1089350,0.487279
518790,320,0.384413
518790,414340,0.321705
518790,319510,0.53542
518790,8140,0.550445
518790,255520,0.292724
518790,744900,0.355006
518790,814380,0.33468600000000004
518790,388090,0.488182
518790,838390,0.337099
518790,602960,0.455387
518790,438740,0.307165
518790,48190,0.436834
518790,670290,0.409374
518790,311560,0.291539
518790,587650,0.466654
518790,365020,0.330178
518790,55140,0.430848
518790,890970,0.314728
518790,12170,0.564865
518790,20920,0.465725
518790,668840,0.403621
518790,1057720,0.407087
518790,227940,0.407035
518790,951740,0.572458
518790,883710,0.506688
518790,582160,0.493223
518790,296200,0.576348
518790,517630,0.458313
518790,967050,0.479542
518790,243450,0.530115
518790,240,0.533679
518790,513710,0.567583
518790,812440,0.29151900000000003
518790,336150,0.560983
518790,228300,0.382248
518790,359550,0.461251
518790,661790,0.213969
518790,225000,0.542805
518790,463350,0.459239
518790,209100,0.451395
518790,401680,0.352623
518790,203160,0.253753
518790,552500,0.502581
518790,594650,0.420678
518790,222480,0.5158149999999999
518790,831250,0.571056
518790,7520,0.454068
518790,880470,0.410592
518790,224960,0.531083
518790,643590,0.429216
518790,91700,0.495695
518790,360430,0.56512
518790,502720,0.3494
518790,417750,0.200913
518790,961440,0.5172260000000001
518790,385760,0.533307
518790,858210,0.25923
518790,304240,0.294797
518790,434460,0.5365260000000001
518790,8930,0.539622
518790,388410,0.425897
518790,462200,0.5236729999999999
518790,588750,0.5646869999999999
518790,70,0.534528
518790,636070,0.5411090000000001
518790,300380,0.461139
518790,354140,0.484549
518790,392110,0.495776
518790,289650,0.5378
518790,431730,0.5157010000000001
518790,7000,0.500857
518790,290930,0.333775
518790,691630,0.403718
518790,537630,0.5600609999999999
518790,15100,0.351635
518790,3910,0.406482
518790,281990,0.33524
518790,812140,0.508882
518790,42700,0.52256
518790,640820,0.513624
518790,20900,0.485757
518790,513650,0.554755
518790,343780,0.502225
518790,360,0.431903
518790,1070040,0.4877260000000001
518790,420,0.412957
518790,514900,0.236078
518790,779430,0.555392
518790,404410,0.47489
518790,1054580,0.576916
518790,204530,0.57463
518790,223470,0.293624
518790,265300,0.497755
518790,393190,0.460842
518790,394360,0.499737
518790,296490,0.458554
518790,730,0.5011939999999999
518790,470220,0.54556
518790,550,0.443193
518790,252330,0.402235
518790,555440,0.243077
518790,390030,0.540991
518790,726590,0.573659
518790,381210,0.5114479999999999
518790,489940,0.576906
518790,201870,0.294989
518790,552990,0.568916
518790,225300,0.508865
518790,550840,0.483513
518790,260210,0.42227
518790,242050,0.522609
518790,630,0.42778
518790,233410,0.253147
518790,601430,0.516129
518790,911400,0.386506
518790,679990,0.350964
518790,339610,0.469503
518790,268870,0.391033
518790,590950,0.474139
518790,287290,0.403066
518790,406970,0.30917100000000003
518790,21690,0.294569
518790,282800,0.560597
518790,240600,0.479116
518790,10090,0.567628
518790,221040,0.260412
518790,339340,0.374722
518790,277590,0.544433
518790,487770,0.545913
518790,10,0.5195810000000001
