id,group,pageranks,price,company,date,tag,ser_id,discount,Name,Positive,Negative,Rating,Current,24h Peak,All-Time Peak
10,35,0.004372999999999999,9.99,Valve,2000,1774,0,1.0,Counter-Strike,"133,134","3,541",0.9606,"6,299","14,655","319,586"
50,41,0.005259000000000001,4.99,Valve,1999,4667,6,1.0,Half-Life: Opposing Force,"5,670",314,0.9148999999999999,85,171,254
70,13,0.0011560000000000001,9.99,Valve,1998,4667,6,1.0,Half-Life,"30,813","1,167",0.9431,461,933,"2,167"
130,41,0.005259000000000001,4.99,Valve,2001,4667,6,1.0,Half-Life: Blue Shift,"4,168",461,0.8689,44,113,174
220,13,0.003403,9.99,Valve,2004,4667,6,1.0,Half-Life 2,"72,913","2,488",0.9511,790,"1,502","12,953"
240,13,0.0025329999999999997,9.99,Valve,2004,1774,0,1.0,Counter-Strike: Source,"85,237","3,742",0.9431,"2,710","6,138","100,056"
280,35,0.000909,9.99,Valve,2004,4667,6,1.0,Half-Life: Source,"4,135","1,120",0.7651,75,153,452
320,27,0.011583,4.99,Valve,2004,4667,6,1.0,Half-Life 2: Deathmatch,"6,361",809,0.8604,113,255,"2,702"
340,35,0.004752,0.0,Valve,2005,4667,6,0.0,Half-Life 2: Lost Coast,"6,035","1,045",0.828,14,38,180
360,35,0.0099,9.99,Valve,2006,4667,6,1.0,Half-Life Deathmatch: Source,"1,476",489,0.7254999999999999,13,27,79
380,36,0.000789,7.99,Valve,2006,4667,6,1.0,Half-Life 2: Episode One,"8,403",536,0.9116,119,245,792
420,27,0.0063479999999999995,7.99,Valve,2007,4667,6,1.0,Half-Life 2: Episode Two,"14,571",703,0.929,147,301,"1,308"
550,27,0.009498000000000001,9.99,Valve,2009,3978,0,1.0,Left 4 Dead 2,"273,711","8,878",0.9579000000000001,"10,171","17,645","162,399"
630,9,0.013587,0.0,Valve,2010,1755,0,0.0,Alien Swarm,"17,745",967,0.9251,35,76,"60,467"
730,13,0.002274,0.0,Valve,2012,1774,0,0.0,Counter-Strike: Global Offensive,"2,829,388","424,485",0.8654999999999999,"339,976","557,663","854,801"
730,13,0.002274,0.0,Valve,2012,1678,0,0.0,Counter-Strike: Global Offensive,"2,829,388","424,485",0.8654999999999999,"339,976","557,663","854,801"
3590,11,0.000789,4.99,"PopCap Games, Inc.",2009,1645,0,1.0,Plants vs. Zombies: Game of the Year,"17,556",534,0.9459000000000001,"1,251","1,653","6,208"
3900,13,0.001789,7.49,2K,2005,9,1,0.0,Sid Meier's Civilization IV,"1,461",137,0.8693000000000001,332,589,"2,314"
3910,35,0.010615000000000001,4.99,2K,2001,9,1,0.0,Sid Meier's Civilization III: Complete,"2,703",412,0.8351000000000001,611,"1,077","4,600"
4570,9,0.001173,12.99,SEGA,2006,4345,0,0.0,"Warhammer 40,000: Dawn of War - Game of the Year Edition","3,651",212,0.9081,120,234,"3,241"
7000,35,0.004711,6.99,Square Enix,2006,4667,4,1.0,Tomb Raider: Legend,"1,750",255,0.835,14,50,287
7520,27,0.007768000000000001,19.99,"Topware Interactive, ACE",2011,4604,0,0.0,Two Worlds II,"3,150","2,080",0.5945,134,426,"4,812"
8000,9,0.001439,8.99,Square Enix,2007,4667,4,1.0,Tomb Raider: Anniversary,"2,099",404,0.8065000000000001,26,68,461
8140,9,0.0048189999999999995,8.99,Square Enix,2008,4667,4,1.0,Tomb Raider: Underworld,"1,916",624,0.7303000000000001,26,55,415
8800,13,0.00095,7.49,2K,2007,9,1,0.0,Sid Meier's Civilization IV: Beyond the Sword,"1,502",71,0.9053,730,"1,266","2,475"
8930,32,0.000789,29.99,2K,2010,9,1,0.0,Sid Meier's Civilization V,"134,449","5,671",0.9466,"13,770","23,631","91,363"
10090,59,0.000789,19.99,Activision,2008,1678,0,0.0,Call of Duty: World at War,"20,884","1,541",0.9101,613,"1,025","4,825"
12100,9,0.001172,9.99,Rockstar Games,2002,699,3,1.0,Grand Theft Auto III,"5,095",795,0.8382999999999999,83,176,640
12110,42,0.000789,9.99,Rockstar Games,2003,699,3,1.0,Grand Theft Auto: Vice City,"10,748",862,0.9003,181,409,814
12120,9,0.0020399999999999997,14.99,Rockstar Games,2005,699,3,0.0,Grand Theft Auto: San Andreas,"30,366","3,387",0.8823000000000001,839,"1,981","2,443"
12170,35,0.001317,0.0,Rockstar Games,1998,699,3,0.0,Grand Theft Auto,207,33,0.7929999999999999,1,4,123
12180,13,0.0009140000000000001,0.0,Rockstar Games,1999,699,3,0.0,Grand Theft Auto 2,202,17,0.8391,,,
15100,10,0.0,19.99,Ubisoft,2008,4667,2,0.0,Assassin's Creed,"5,963","1,215",0.8079000000000001,40,119,"1,468"
17570,46,0.000789,0.0,Octoshark Studios,2010,1681,0,0.0,"Pirates, Vikings, & Knights II","3,965",603,0.8389,14,57,878
20900,35,0.004158,9.99,CD PROJEKT RED,2008,4604,0,1.0,The Witcher: Enhanced Edition,"28,358","4,411",0.8493999999999999,696,"1,616","8,338"
20920,9,0.006762000000000001,19.99,CD PROJEKT RED,2011,4604,0,0.0,The Witcher 2: Assassins of Kings Enhanced Edition,"38,471","4,867",0.8721,598,"1,321","12,884"
21690,13,0.019493,19.99,Capcom,2009,3978,7,1.0,Resident Evil 5 / Biohazard 5,"10,205","1,717",0.8349,228,462,"2,585"
22490,13,0.0014269999999999999,6.99,Bethesda Softworks,2010,1774,0,0.0,Fallout: New Vegas RU,"3,261",588,0.8183,425,923,"3,777"
32360,33,0.000789,9.99,LucasArts,2009,1681,0,1.0,The Secret of Monkey Island: Special Edition,"2,251",121,0.9057,28,82,746
32460,52,0.000789,9.99,LucasArts,2010,1681,0,1.0,Monkey Island 2: Special Edition,"1,251",66,0.8981,14,37,"1,813"
33230,13,0.001182,19.99,Ubisoft,2010,4667,2,0.0,Assassin's Creed II,"15,558","2,696",0.8339,439,649,"3,617"
33930,13,0.0009130000000000001,19.99,Bohemia Interactive,2010,1678,0,1.0,Arma 2: Operation Arrowhead,"18,075","1,526",0.9006000000000001,368,"1,021","19,175"
40390,9,0.001159,9.99,Deep Silver,2012,1681,0,1.0,Risen 2 - Dark Waters,"3,103",904,0.7518,35,122,"10,867"
42700,13,0.0032270000000000003,39.99,Activision,2010,1774,0,0.0,Call of Duty: Black Ops,"15,006","1,997",0.8622,203,557,"63,343"
48190,27,0.008399,19.99,Ubisoft,2011,4667,2,0.0,Assassin's Creed Brotherhood,"7,008",963,0.8538,160,319,"3,848"
55140,27,0.006,19.99,THQ Nordic,2010,123332,0,0.0,MX vs. ATV Reflex,"1,657",367,0.7865000000000001,20,48,429
65800,3,0.000789,14.99,Trendy Entertainment,2011,1645,0,0.0,Dungeon Defenders,"11,001",942,0.8962,148,353,"21,862"
70620,24,0.000789,9.99,Team17 Digital Ltd,2011,7038,0,1.0,Worms Crazy Golf,413,90,0.7717,,,
91700,27,0.004845,9.99,Streum On Studio,2011,4115,0,1.0,E.Y.E: Divine Cybermancy,"4,645",918,0.81,15,48,"2,481"
99910,2,0.000789,0.0,"Grey Havens, LLC",2011,1681,0,0.0,Puzzle Pirates,991,250,0.7636,34,64,949
105600,1,0.000789,9.99,Re-Logic,2011,3964,0,1.0,Terraria,"289,493","8,213",0.9618000000000001,"21,860","31,505","159,175"
201790,27,0.0061719999999999995,14.99,Robot Entertainment,2012,1645,0,0.0,Orcs Must Die! 2,"13,678",704,0.9258,70,183,"16,119"
201870,13,0.024593,19.99,Ubisoft,2011,4667,2,0.0,Assassin's Creed Revelations,"6,080","1,105",0.8223,103,180,"3,105"
203160,13,0.017717,19.99,Square Enix,2013,4667,4,0.0,Tomb Raider,"97,398","4,226",0.9442,902,"1,560","29,244"
204530,9,0.002014,14.99,Rocket Bear Games,2014,1645,0,0.0,Infested Planet,"2,043",128,0.8974,10,20,"1,280"
208480,9,0.003624,0.0,Ubisoft,2012,4667,2,0.0,Assassin's Creed® III,"9,553","3,222",0.7334,60,113,"15,007"
209100,27,0.0041270000000000005,29.99,Capcom Co. Ltd,2012,3978,7,0.0,Resident Evil™: Operation Raccoon City,"1,238","1,163",0.5141,8,17,"1,056"
211260,0,0.000789,9.99,Spooky Squid Games Inc.,2012,4345,0,1.0,They Bleed Pixels,"1,993",336,0.8212999999999999,1,6,570
218230,27,0.008732,0.0,Daybreak Game Company,2012,1678,0,0.0,PlanetSide 2,"37,314","8,085",0.8092,860,"1,668","29,676"
221040,13,0.018690000000000002,29.99,Capcom,2013,3978,7,1.0,Resident Evil 6 / Biohazard 6,"15,611","4,132",0.7759,367,648,"11,879"
222480,13,0.003518,29.99,Capcom,2013,3978,7,1.0,Resident Evil Revelations / Biohazard Revelations,"5,194","1,006",0.8134,74,125,"2,095"
223470,24,0.0,0.99,Running With Scissors,2003,4667,0,1.0,POSTAL 2,"38,415","1,937",0.9334,197,349,"4,636"
224960,9,0.001283,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider I,"1,796",385,0.7915000000000001,15,41,208
224980,9,0.001078,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider: The Last Revelation,445,66,0.8140999999999999,7,30,79
225000,9,0.003616,6.99,Square Enix,2012,4667,4,0.0,Tomb Raider: Chronicles,241,78,0.7105,3,9,47
225020,14,0.000789,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider (VI): The Angel of Darkness,365,273,0.5618,2,15,52
225300,35,0.005893,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider II,857,119,0.8305,11,37,100
225320,9,0.003064,6.99,Square Enix,2012,4667,4,1.0,Tomb Raider III: Adventures of Lara Croft,487,103,0.7778,12,28,66
227940,27,0.007638,0.0,RETO MOTO,2016,1678,0,0.0,Heroes & Generals,"67,899","35,369",0.6526000000000001,"1,979","3,691","21,026"
228300,27,0.0049380000000000005,29.99,Capcom,2013,4115,0,1.0,Remember Me,"9,385","1,878",0.8131999999999999,30,64,"3,117"
233410,27,0.01141,1.99,Geoff Keighley,2013,4667,4,1.0,Final Hours of Tomb Raider,97,11,0.8012,,,
240600,35,0.007141,9.99,Plug In Digital,2013,123332,0,1.0,MotoGP™13,424,166,0.6866,6,14,255
242050,35,0.00405,19.99,Ubisoft,2013,1681,0,1.0,Assassin's Creed IV Black Flag,"24,808","3,421",0.8615,834,"1,331","16,049"
242050,35,0.00405,19.99,Ubisoft,2013,4667,2,1.0,Assassin's Creed IV Black Flag,"24,808","3,421",0.8615,834,"1,331","16,049"
243450,13,0.001307,6.99,Tate Multimedia,2013,123332,0,1.0,Urban Trial Freestyle,"1,215",274,0.7809999999999999,2,4,310
246420,13,0.00228,9.99,Ironhide Game Studio,2014,1645,0,1.0,Kingdom Rush,"5,328",186,0.9314,45,96,"2,022"
250520,9,0.0021260000000000003,14.99,Stygian Software,2015,4115,0,0.0,Underrail,"1,570",272,0.8157,37,83,952
251430,9,0.005958,14.99,Headup,2013,6815,0,0.0,The Inner World,592,52,0.8595,2,9,98
252330,9,0.008362999999999999,9.99,Blue Isle Studios,2013,3978,0,1.0,Slender: The Arrival,"4,632",594,0.857,,,
254700,13,0.00216,19.99,Capcom,2014,3978,7,1.0,resident evil 4 / biohazard 4,"12,353","2,265",0.8258,218,419,"2,447"
255520,10,0.0,0.0,Devolver Digital,2013,4345,0,0.0,Viscera Cleanup Detail: Shadow Warrior,"2,556",622,0.7774,7,14,"1,164"
256370,9,0.000923,3.99,Plug In Digital,2014,198913,0,1.0,MXGP - The Official Motocross Videogame,660,186,0.7433,3,10,639
260210,9,0.018028,19.99,Ubisoft,2014,4667,2,1.0,Assassin's Creed Liberation,958,711,0.5661,7,15,"1,174"
261980,35,0.000915,0.0,Creashock studios,2009,4667,6,0.0,Half-Life: Before,882,"1,446",0.3906,2,2,331
265300,13,0.002496,4.49,CI Games,2014,4604,0,0.0,Lords Of The Fallen,"7,660","5,139",0.5928,31,86,"8,024"
268870,27,0.010532,29.99,5 Lives Studios,2015,4115,0,0.0,Satellite Reign,"2,767","1,230",0.6764,22,54,"7,251"
271590,4,0.000789,29.99,Rockstar Games,2015,699,3,1.0,Grand Theft Auto V,"375,141","142,119",0.721,"74,448","118,834","364,548"
272890,26,0.000789,9.99,Fellow Traveller,2014,7038,0,1.0,Vertiginous Golf,597,413,0.5797,,,
277430,9,0.0017670000000000001,2.99,Xbox Game Studios,2014,1755,0,1.0,Halo: Spartan Assault,"2,853",700,0.7770999999999999,6,12,680
277590,9,0.003432,14.99,Ubisoft,2014,4667,2,1.0,Assassin's Creed Freedom Cry,871,307,0.7109000000000001,5,14,447
281990,10,0.0,9.99,Paradox Interactive,2016,1755,0,0.0,Stellaris,"42,610","10,412",0.7920999999999999,"7,536","13,171","68,602"
282800,13,0.001328,6.99,Fruitbat Factory,2013,4726,0,1.0,100% Orange Juice,"11,952",843,0.9089,191,316,"1,105"
283040,27,0.005894,9.99,Agent Mega,2014,1770,0,1.0,Paper Dungeons,38,38,0.5,,,
286160,65,0.000789,19.99,Berserk Games,2015,1770,0,0.0,Tabletop Simulator,"16,544",845,0.9275,"1,198","3,298","4,915"
287290,27,0.00743,5.99,"CAPCOM Co., Ltd.",2015,3978,7,1.0,Resident Evil Revelations 2 / Biohazard Revelations 2,"9,651","2,880",0.7544,104,184,"3,686"
