Source,Target,Type,Id,Label,timeset,Weight
332800,211260,Directed,0,,,0.218085
332800,105600,Directed,1,,,0.640944
332800,250520,Directed,2,,,0.122503
332800,458710,Directed,3,,,0.374243
332800,518790,Directed,4,,,0.180305
332800,418370,Directed,5,,,0.312775
332800,431240,Directed,6,,,0.26751
332800,283040,Directed,7,,,0.356805
332800,22490,Directed,8,,,0.477276
332800,256370,Directed,9,,,0.303818
332800,220,Directed,10,,,0.35678
332800,368500,Directed,11,,,0.36944
332800,99910,Directed,12,,,0.449598
332800,314340,Directed,13,,,0.109858
332800,384680,Directed,14,,,0.164656
332800,65800,Directed,15,,,0.089942
332800,550650,Directed,16,,,0.211659
332800,271590,Directed,17,,,0.52318
332800,251430,Directed,18,,,0.094531
332800,335620,Directed,19,,,0.088237
332800,834910,Directed,20,,,0.210304
332800,610310,Directed,21,,,0.027897
332800,3900,Directed,22,,,0.493819
332800,528110,Directed,23,,,0.228087
332800,530620,Directed,24,,,0.216067
332800,400630,Directed,25,,,0.504619
332800,299500,Directed,26,,,0.243983
332800,485510,Directed,27,,,0.362006
332800,340,Directed,28,,,0.20105
332800,277430,Directed,29,,,0.226206
332800,405500,Directed,30,,,0.570501
332800,312280,Directed,31,,,0.274873
332800,819630,Directed,32,,,0.417197
332800,906870,Directed,33,,,0.199525
332800,254700,Directed,34,,,0.43054
332800,225320,Directed,35,,,0.172382
332800,1089350,Directed,36,,,0.440254
332800,320,Directed,37,,,0.195088
332800,414340,Directed,38,,,0.303066
332800,319510,Directed,39,,,0.562532
332800,8140,Directed,40,,,0.242868
332800,466270,Directed,41,,,0.452585
332800,255520,Directed,42,,,0.200796
332800,744900,Directed,43,,,0.32488
332800,814380,Directed,44,,,0.335788
332800,381590,Directed,45,,,0.643913
332800,33930,Directed,46,,,0.563296
332800,388090,Directed,47,,,0.023727
332800,40390,Directed,48,,,0.258025
332800,838390,Directed,49,,,0.175407
332800,3590,Directed,50,,,0.466066
332800,602960,Directed,51,,,0.317722
332800,647960,Directed,52,,,0.513841
332800,438740,Directed,53,,,0.096284
332800,48190,Directed,54,,,0.125827
332800,670290,Directed,55,,,0.160071
332800,311560,Directed,56,,,0.165074
332800,587650,Directed,57,,,0.35868
332800,365020,Directed,58,,,0.054139
332800,55140,Directed,59,,,0.313197
332800,890970,Directed,60,,,0.165003
332800,12170,Directed,61,,,0.612247
332800,20920,Directed,62,,,0.154076
332800,668840,Directed,63,,,0.347043
332800,1057720,Directed,64,,,0.318748
332800,227940,Directed,65,,,0.37266
332800,225020,Directed,66,,,0.218666
332800,951740,Directed,67,,,0.310468
332800,883710,Directed,68,,,0.341281
332800,400800,Directed,69,,,0.287306
332800,582160,Directed,70,,,0.271955
332800,296200,Directed,71,,,0.24228
332800,452570,Directed,72,,,0.134339
332800,517630,Directed,73,,,0.414042
332800,354200,Directed,74,,,0.26659
332800,967050,Directed,75,,,0.288213
332800,460950,Directed,76,,,0.26214
332800,243450,Directed,77,,,0.304024
332800,240,Directed,78,,,0.584318
332800,819080,Directed,79,,,0.39688
332800,362830,Directed,80,,,0.444787
332800,378540,Directed,81,,,0.310904
332800,663370,Directed,82,,,0.409022
332800,513710,Directed,83,,,0.156948
332800,812440,Directed,84,,,0.238055
332800,336150,Directed,85,,,0.438927
332800,228300,Directed,86,,,0.283567
332800,359550,Directed,87,,,0.169529
332800,359220,Directed,88,,,0.265405
332800,661790,Directed,89,,,0.245235
332800,225000,Directed,90,,,0.188611
332800,463350,Directed,91,,,0.317619
332800,12100,Directed,92,,,0.301027
332800,958260,Directed,93,,,0.156272
332800,209100,Directed,94,,,0.231506
332800,401680,Directed,95,,,0.097562
332800,203160,Directed,96,,,0.28387
332800,711540,Directed,97,,,0.470926
332800,50,Directed,98,,,0.172212
332800,70620,Directed,99,,,0.509615
332800,280,Directed,100,,,0.545948
332800,552500,Directed,101,,,0.049519
332800,594650,Directed,102,,,0.247185
332800,535700,Directed,103,,,0.5662
332800,222480,Directed,104,,,0.255596
332800,831250,Directed,105,,,0.461666
332800,7520,Directed,106,,,0.127133
332800,272890,Directed,107,,,0.424106
332800,880470,Directed,108,,,0.360896
332800,224960,Directed,109,,,0.042476
332800,643590,Directed,110,,,0.428784
332800,865090,Directed,111,,,0.395678
332800,346470,Directed,112,,,0.459654
332800,91700,Directed,113,,,0.34815
332800,360430,Directed,114,,,0.217707
332800,502720,Directed,115,,,0.067906
332800,417750,Directed,116,,,0.135285
332800,961440,Directed,117,,,0.358087
332800,385760,Directed,118,,,0.406664
332800,858210,Directed,119,,,0.207823
332800,304240,Directed,120,,,0.211825
332800,434460,Directed,121,,,0.178744
332800,8930,Directed,122,,,0.19546
332800,388410,Directed,123,,,0.426102
332800,32360,Directed,124,,,0.397765
332800,462200,Directed,125,,,0.327039
332800,719720,Directed,126,,,0.12815
332800,588750,Directed,127,,,0.250049
332800,70,Directed,128,,,0.185941
332800,636070,Directed,129,,,0.316177
332800,12180,Directed,130,,,0.40814
332800,300380,Directed,131,,,0.273086
332800,603700,Directed,132,,,0.361549
332800,354140,Directed,133,,,0.021888
332800,661940,Directed,134,,,0.395472
332800,392110,Directed,135,,,0.162584
332800,289650,Directed,136,,,0.192767
332800,431730,Directed,137,,,0.284619
332800,7000,Directed,138,,,0.348836
332800,290930,Directed,139,,,0.173888
332800,691630,Directed,140,,,0.244334
332800,447530,Directed,141,,,0.206447
332800,380,Directed,142,,,0.659806
332800,537630,Directed,143,,,0.509771
332800,15100,Directed,144,,,0.379983
332800,3910,Directed,145,,,0.337644
332800,281990,Directed,146,,,0.230313
332800,812140,Directed,147,,,0.441486
332800,42700,Directed,148,,,0.200599
332800,12120,Directed,149,,,0.290395
332800,877180,Directed,150,,,0.366135
332800,640820,Directed,151,,,0.427161
332800,454140,Directed,152,,,0.341156
332800,20900,Directed,153,,,0.451239
332800,513650,Directed,154,,,0.600671
332800,343780,Directed,155,,,0.333959
332800,246420,Directed,156,,,0.376019
332800,360,Directed,157,,,0.501976
332800,496790,Directed,158,,,0.438282
332800,1070040,Directed,159,,,0.235771
332800,261980,Directed,160,,,0.287323
332800,420,Directed,161,,,0.142907
332800,514900,Directed,162,,,0.307643
332800,8800,Directed,163,,,0.199752
332800,779430,Directed,164,,,0.505071
332800,291480,Directed,165,,,0.093433
332800,404410,Directed,166,,,0.205739
332800,626610,Directed,167,,,0.290504
332800,1054580,Directed,168,,,0.533758
332800,345660,Directed,169,,,0.334553
332800,204530,Directed,170,,,0.299123
332800,223470,Directed,171,,,0.061961
332800,8000,Directed,172,,,0.281218
332800,265300,Directed,173,,,0.497193
332800,668430,Directed,174,,,0.332014
332800,130,Directed,175,,,0.165633
332800,393190,Directed,176,,,0.260793
332800,394360,Directed,177,,,0.257552
332800,296490,Directed,178,,,0.131953
332800,730,Directed,179,,,0.55539
332800,470220,Directed,180,,,0.408626
332800,550,Directed,181,,,0.197632
332800,252330,Directed,182,,,0.073481
332800,12110,Directed,183,,,0.316229
332800,458830,Directed,184,,,0.470498
332800,555440,Directed,185,,,0.258359
332800,390030,Directed,186,,,0.108944
332800,726590,Directed,187,,,0.393535
332800,381210,Directed,188,,,0.036922
332800,489940,Directed,189,,,0.138886
332800,1096010,Directed,190,,,0.410998
332800,201870,Directed,191,,,0.400292
332800,334940,Directed,192,,,0.399123
332800,552990,Directed,193,,,0.291863
332800,225300,Directed,194,,,0.453871
332800,17570,Directed,195,,,0.141059
332800,550840,Directed,196,,,0.112342
332800,260210,Directed,197,,,0.260974
332800,242050,Directed,198,,,0.398465
332800,383120,Directed,199,,,0.363533
332800,630,Directed,200,,,0.237912
332800,233410,Directed,201,,,0.27906
332800,397900,Directed,202,,,0.379612
332800,416000,Directed,203,,,0.495081
332800,601430,Directed,204,,,0.105963
332800,619930,Directed,205,,,0.288204
332800,851940,Directed,206,,,0.168026
332800,298630,Directed,207,,,0.558532
332800,693960,Directed,208,,,0.053604
332800,32460,Directed,209,,,0.373284
332800,911400,Directed,210,,,0.253213
332800,599460,Directed,211,,,0.344218
332800,679990,Directed,212,,,0.211534
332800,521580,Directed,213,,,0.275534
332800,894940,Directed,214,,,0.372433
332800,339610,Directed,215,,,0.413193
332800,224980,Directed,216,,,0.177385
332800,755500,Directed,217,,,0.458423
332800,268870,Directed,218,,,0.130763
332800,590950,Directed,219,,,0.069318
332800,287290,Directed,220,,,0.239209
332800,406970,Directed,221,,,0.060454
332800,21690,Directed,222,,,0.235306
332800,641080,Directed,223,,,0.398051
332800,282800,Directed,224,,,0.144086
332800,1072610,Directed,225,,,0.616149
332800,571740,Directed,226,,,0.600028
332800,240600,Directed,227,,,0.433511
332800,1049660,Directed,228,,,0.532615
332800,10090,Directed,229,,,0.136571
332800,221040,Directed,230,,,0.140733
332800,339340,Directed,231,,,0.259003
332800,277590,Directed,232,,,0.224658
332800,487770,Directed,233,,,0.465869
332800,331600,Directed,234,,,0.560132
332800,774171,Directed,235,,,0.459216
332800,10,Directed,236,,,0.371286
332800,506610,Directed,237,,,0.10151
332800,201790,Directed,238,,,0.058671
332800,520940,Directed,239,,,0.211805
332800,306020,Directed,240,,,0.517685
332800,841370,Directed,241,,,0.480685
332800,760630,Directed,242,,,0.573476
332800,747250,Directed,243,,,0.227893
332800,343990,Directed,244,,,0.30745
332800,1079420,Directed,245,,,0.129294
332800,948630,Directed,246,,,0.27626
332800,718590,Directed,247,,,0.185547
332800,33230,Directed,248,,,0.512253
332800,362490,Directed,249,,,0.17217
332800,208480,Directed,250,,,0.086069
332800,218230,Directed,251,,,0.292184
332800,596650,Directed,252,,,0.101366
332800,4570,Directed,253,,,0.343938
332800,356310,Directed,254,,,0.093841
332800,663390,Directed,255,,,0.634284
332800,286160,Directed,256,,,0.422931
332800,802320,Directed,257,,,0.523911
211260,332800,Directed,258,,,0.218085
211260,105600,Directed,259,,,0.824757
211260,250520,Directed,260,,,0.104169
211260,458710,Directed,261,,,0.567669
211260,518790,Directed,262,,,0.407685
211260,418370,Directed,263,,,0.535936
211260,431240,Directed,264,,,0.478197
211260,283040,Directed,265,,,0.564355
211260,22490,Directed,266,,,0.711482
211260,256370,Directed,267,,,0.329932
211260,220,Directed,268,,,0.513729
211260,368500,Directed,269,,,0.575619
211260,99910,Directed,270,,,0.656218
211260,314340,Directed,271,,,0.254957
211260,384680,Directed,272,,,0.330654
211260,65800,Directed,273,,,0.322745
211260,550650,Directed,274,,,0.434463
211260,271590,Directed,275,,,0.744481
211260,251430,Directed,276,,,0.171914
211260,335620,Directed,277,,,0.256929
211260,834910,Directed,278,,,0.086124
211260,610310,Directed,279,,,0.255806
211260,3900,Directed,280,,,0.705808
211260,528110,Directed,281,,,0.390665
211260,530620,Directed,282,,,0.44894
211260,400630,Directed,283,,,0.735822
211260,299500,Directed,284,,,0.421499
211260,485510,Directed,285,,,0.586091
211260,340,Directed,286,,,0.399601
211260,277430,Directed,287,,,0.291529
211260,405500,Directed,288,,,0.739873
211260,312280,Directed,289,,,0.47395
211260,819630,Directed,290,,,0.644157
211260,906870,Directed,291,,,0.433624
211260,254700,Directed,292,,,0.621168
211260,225320,Directed,293,,,0.261447
211260,1089350,Directed,294,,,0.673889
211260,320,Directed,295,,,0.41002
211260,414340,Directed,296,,,0.537155
211260,319510,Directed,297,,,0.777729
211260,8140,Directed,298,,,0.212383
211260,466270,Directed,299,,,0.619737
211260,255520,Directed,300,,,0.430503
211260,744900,Directed,301,,,0.552449
211260,814380,Directed,302,,,0.570181
211260,381590,Directed,303,,,0.857253
211260,33930,Directed,304,,,0.792729
211260,388090,Directed,305,,,0.196417
211260,40390,Directed,306,,,0.291229
211260,838390,Directed,307,,,0.408988
211260,3590,Directed,308,,,0.661328
211260,602960,Directed,309,,,0.51059
211260,647960,Directed,310,,,0.589164
211260,438740,Directed,311,,,0.324164
211260,48190,Directed,312,,,0.357964
211260,670290,Directed,313,,,0.37497
211260,311560,Directed,314,,,0.360119
211260,587650,Directed,315,,,0.581305
211260,365020,Directed,316,,,0.287969
211260,55140,Directed,317,,,0.545214
211260,890970,Directed,318,,,0.399659
211260,12170,Directed,319,,,0.762735
211260,20920,Directed,320,,,0.134133
211260,668840,Directed,321,,,0.579307
211260,1057720,Directed,322,,,0.551212
211260,227940,Directed,323,,,0.602019
211260,225020,Directed,324,,,0.13131
211260,951740,Directed,325,,,0.477266
211260,883710,Directed,326,,,0.387303
211260,400800,Directed,327,,,0.061354
211260,582160,Directed,328,,,0.492461
211260,296200,Directed,329,,,0.435018
211260,452570,Directed,330,,,0.179071
211260,517630,Directed,331,,,0.644898
211260,354200,Directed,332,,,0.276203
211260,967050,Directed,333,,,0.522019
211260,460950,Directed,334,,,0.173831
211260,243450,Directed,335,,,0.527351
211260,240,Directed,336,,,0.804778
211260,819080,Directed,337,,,0.631164
211260,362830,Directed,338,,,0.626568
211260,378540,Directed,339,,,0.419638
211260,663370,Directed,340,,,0.640729
211260,513710,Directed,341,,,0.064023
211260,812440,Directed,342,,,0.454089
211260,336150,Directed,343,,,0.498449
211260,228300,Directed,344,,,0.392686
211260,359550,Directed,345,,,0.402368
211260,359220,Directed,346,,,0.434183
211260,661790,Directed,347,,,0.478185
211260,225000,Directed,348,,,0.240684
211260,463350,Directed,349,,,0.527664
211260,12100,Directed,350,,,0.487349
211260,958260,Directed,351,,,0.04899
211260,209100,Directed,352,,,0.444313
211260,401680,Directed,353,,,0.307322
211260,203160,Directed,354,,,0.518508
211260,711540,Directed,355,,,0.688123
211260,50,Directed,356,,,0.164959
211260,70620,Directed,357,,,0.744251
211260,280,Directed,358,,,0.769762
211260,552500,Directed,359,,,0.220992
211260,594650,Directed,360,,,0.480427
211260,535700,Directed,361,,,0.752833
211260,222480,Directed,362,,,0.37703
211260,831250,Directed,363,,,0.595952
211260,7520,Directed,364,,,0.361412
211260,272890,Directed,365,,,0.37108
211260,880470,Directed,366,,,0.472421
211260,224960,Directed,367,,,0.15908
211260,643590,Directed,368,,,0.618908
211260,865090,Directed,369,,,0.54242
211260,346470,Directed,370,,,0.690253
211260,91700,Directed,371,,,0.566145
211260,360430,Directed,372,,,0.326229
211260,502720,Directed,373,,,0.269205
211260,417750,Directed,374,,,0.3693
211260,961440,Directed,375,,,0.399891
211260,385760,Directed,376,,,0.627636
211260,858210,Directed,377,,,0.431584
211260,304240,Directed,378,,,0.446349
211260,434460,Directed,379,,,0.397516
211260,8930,Directed,380,,,0.269256
211260,388410,Directed,381,,,0.633468
211260,32360,Directed,382,,,0.528497
211260,462200,Directed,383,,,0.544187
211260,719720,Directed,384,,,0.288276
211260,588750,Directed,385,,,0.39406
211260,70,Directed,386,,,0.333854
211260,636070,Directed,387,,,0.458802
211260,12180,Directed,388,,,0.530598
211260,300380,Directed,389,,,0.477417
211260,603700,Directed,390,,,0.591998
211260,354140,Directed,391,,,0.245598
211260,661940,Directed,392,,,0.628815
211260,392110,Directed,393,,,0.355711
211260,289650,Directed,394,,,0.176618
211260,431730,Directed,395,,,0.468354
211260,7000,Directed,396,,,0.582333
211260,290930,Directed,397,,,0.397247
211260,691630,Directed,398,,,0.478974
211260,447530,Directed,399,,,0.07988
211260,380,Directed,400,,,0.892248
211260,537630,Directed,401,,,0.664048
211260,15100,Directed,402,,,0.613207
211260,3910,Directed,403,,,0.572223
211260,281990,Directed,404,,,0.459872
211260,812140,Directed,405,,,0.668124
211260,42700,Directed,406,,,0.404306
211260,12120,Directed,407,,,0.145221
211260,877180,Directed,408,,,0.445159
211260,640820,Directed,409,,,0.637917
211260,454140,Directed,410,,,0.4786
211260,20900,Directed,411,,,0.67121
211260,513650,Directed,412,,,0.835036
211260,343780,Directed,413,,,0.561758
211260,246420,Directed,414,,,0.563892
211260,360,Directed,415,,,0.726393
211260,496790,Directed,416,,,0.59721
211260,1070040,Directed,417,,,0.441789
211260,261980,Directed,418,,,0.518016
211260,420,Directed,419,,,0.356594
211260,514900,Directed,420,,,0.542159
211260,8800,Directed,421,,,0.348065
211260,779430,Directed,422,,,0.713019
211260,291480,Directed,423,,,0.108165
211260,404410,Directed,424,,,0.380106
211260,626610,Directed,425,,,0.37578
211260,1054580,Directed,426,,,0.650998
211260,345660,Directed,427,,,0.502894
211260,204530,Directed,428,,,0.355034
211260,223470,Directed,429,,,0.267355
211260,8000,Directed,430,,,0.253653
211260,265300,Directed,431,,,0.695283
211260,668430,Directed,432,,,0.321608
211260,130,Directed,433,,,0.179193
211260,393190,Directed,434,,,0.481088
211260,394360,Directed,435,,,0.332592
211260,296490,Directed,436,,,0.34043
211260,730,Directed,437,,,0.788683
211260,470220,Directed,438,,,0.578531
211260,550,Directed,439,,,0.378499
211260,252330,Directed,440,,,0.147974
211260,12110,Directed,441,,,0.156292
211260,458830,Directed,442,,,0.577546
211260,555440,Directed,443,,,0.49251
211260,390030,Directed,444,,,0.311358
211260,726590,Directed,445,,,0.620427
211260,381210,Directed,446,,,0.21924
211260,489940,Directed,447,,,0.266477
211260,1096010,Directed,448,,,0.645547
211260,201870,Directed,449,,,0.631889
211260,334940,Directed,450,,,0.397639
211260,552990,Directed,451,,,0.353979
211260,225300,Directed,452,,,0.688524
211260,17570,Directed,453,,,0.36754
211260,550840,Directed,454,,,0.295423
211260,260210,Directed,455,,,0.31866
211260,242050,Directed,456,,,0.561676
211260,383120,Directed,457,,,0.552523
211260,630,Directed,458,,,0.365391
211260,233410,Directed,459,,,0.511544
211260,397900,Directed,460,,,0.59197
211260,416000,Directed,461,,,0.66779
211260,601430,Directed,462,,,0.13132
211260,619930,Directed,463,,,0.427788
211260,851940,Directed,464,,,0.299976
211260,298630,Directed,465,,,0.770114
211260,693960,Directed,466,,,0.172745
211260,32460,Directed,467,,,0.493292
