Id,Label,timeset,modularity_class
332800,332800,,11
211260,211260,,0
105600,105600,,1
250520,250520,,48
458710,458710,,28
518790,518790,,39
418370,418370,,39
431240,431240,,37
283040,283040,,28
22490,22490,,13
256370,256370,,48
220,220,,37
368500,368500,,2
99910,99910,,3
314340,314340,,11
384680,384680,,11
65800,65800,,28
550650,550650,,28
271590,271590,,4
251430,251430,,11
335620,335620,,11
834910,834910,,5
610310,610310,,6
3900,3900,,13
528110,528110,,7
530620,530620,,39
400630,400630,,8
299500,299500,,37
485510,485510,,13
340,340,,37
277430,277430,,48
405500,405500,,9
312280,312280,,37
819630,819630,,10
906870,906870,,11
254700,254700,,39
225320,225320,,48
1089350,1089350,,13
320,320,,11
414340,414340,,39
319510,319510,,13
8140,8140,,48
466270,466270,,12
255520,255520,,39
744900,744900,,13
814380,814380,,39
381590,381590,,14
33930,33930,,13
388090,388090,,11
40390,40390,,48
838390,838390,,48
3590,3590,,28
602960,602960,,37
647960,647960,,15
438740,438740,,11
48190,48190,,28
670290,670290,,11
311560,311560,,57
587650,587650,,39
365020,365020,,11
55140,55140,,39
890970,890970,,11
12170,12170,,39
20920,20920,,48
668840,668840,,13
1057720,1057720,,57
227940,227940,,39
225020,225020,,48
951740,951740,,37
883710,883710,,48
400800,400800,,16
582160,582160,,28
296200,296200,,37
452570,452570,,17
517630,517630,,13
354200,354200,,18
967050,967050,,13
460950,460950,,19
243450,243450,,13
240,240,,37
819080,819080,,20
362830,362830,,21
378540,378540,,22
663370,663370,,23
513710,513710,,24
812440,812440,,39
336150,336150,,37
228300,228300,,28
359550,359550,,11
359220,359220,,25
661790,661790,,39
225000,225000,,48
463350,463350,,13
12100,12100,,38
958260,958260,,26
209100,209100,,28
401680,401680,,11
203160,203160,,39
711540,711540,,11
50,50,,45
70620,70620,,27
280,280,,39
552500,552500,,11
594650,594650,,13
535700,535700,,28
222480,222480,,11
831250,831250,,37
7520,7520,,28
272890,272890,,29
880470,880470,,28
224960,224960,,11
643590,643590,,37
865090,865090,,30
346470,346470,,31
91700,91700,,13
360430,360430,,32
502720,502720,,11
417750,417750,,11
961440,961440,,48
385760,385760,,37
858210,858210,,11
304240,304240,,39
434460,434460,,33
8930,8930,,28
388410,388410,,13
32360,32360,,34
462200,462200,,28
719720,719720,,35
588750,588750,,13
70,70,,36
636070,636070,,11
12180,12180,,9
300380,300380,,28
603700,603700,,13
354140,354140,,11
661940,661940,,8
392110,392110,,11
289650,289650,,48
431730,431730,,37
7000,7000,,13
290930,290930,,11
691630,691630,,39
447530,447530,,48
380,380,,43
537630,537630,,37
15100,15100,,39
3910,3910,,39
281990,281990,,39
812140,812140,,13
42700,42700,,11
12120,12120,,38
877180,877180,,28
640820,640820,,28
454140,454140,,40
20900,20900,,13
513650,513650,,13
343780,343780,,11
246420,246420,,28
360,360,,39
496790,496790,,41
1070040,1070040,,37
261980,261980,,42
420,420,,11
514900,514900,,13
8800,8800,,55
779430,779430,,37
291480,291480,,43
404410,404410,,11
626610,626610,,48
1054580,1054580,,37
345660,345660,,2
204530,204530,,48
223470,223470,,11
8000,8000,,48
265300,265300,,44
668430,668430,,48
130,130,,45
393190,393190,,11
394360,394360,,48
296490,296490,,11
730,730,,13
470220,470220,,28
550,550,,11
252330,252330,,11
12110,12110,,46
458830,458830,,37
555440,555440,,57
390030,390030,,28
726590,726590,,13
381210,381210,,11
489940,489940,,28
1096010,1096010,,13
201870,201870,,13
334940,334940,,28
552990,552990,,55
225300,225300,,39
17570,17570,,47
550840,550840,,48
260210,260210,,48
242050,242050,,11
383120,383120,,49
630,630,,11
233410,233410,,39
397900,397900,,50
416000,416000,,28
601430,601430,,11
619930,619930,,51
851940,851940,,28
298630,298630,,37
693960,693960,,52
32460,32460,,53
911400,911400,,13
599460,599460,,54
679990,679990,,39
521580,521580,,55
894940,894940,,56
339610,339610,,39
224980,224980,,48
755500,755500,,13
268870,268870,,11
590950,590950,,11
287290,287290,,11
406970,406970,,11
21690,21690,,39
641080,641080,,60
282800,282800,,28
1072610,1072610,,13
571740,571740,,57
240600,240600,,13
1049660,1049660,,58
10090,10090,,59
221040,221040,,11
339340,339340,,39
277590,277590,,48
487770,487770,,37
331600,331600,,60
774171,774171,,28
10,10,,13
506610,506610,,11
201790,201790,,11
520940,520940,,48
306020,306020,,28
841370,841370,,13
760630,760630,,11
747250,747250,,11
343990,343990,,37
1079420,1079420,,61
948630,948630,,48
718590,718590,,11
33230,33230,,13
362490,362490,,39
208480,208480,,48
218230,218230,,37
596650,596650,,28
4570,4570,,48
356310,356310,,28
663390,663390,,62
286160,286160,,63
802320,802320,,28
